boundary_condition,label,r_target,r_prime,beta,n_coeff,n_trotter_steps,snap_depth,snap_exact_fidelity,snap_truncated_fidelity,snap_postselection_probability,snap_oracle_fidelity,snap_oracle_vs_ideal_fidelity,snap_circuit_depth,snap_circuit_size,snap_total_iterations,snap_score_prep_pde,matched_injection_exact_fidelity,matched_injection_truncated_fidelity,matched_injection_postselection_probability,matched_injection_coeff_backend_gap,best_injection_exact_fidelity,best_injection_r_target,best_injection_r_prime,best_injection_beta,best_injection_n_coeff,pde_fidelity_retention_vs_matched_injection,pde_fidelity_gap_vs_matched_injection,postselection_ratio_vs_matched_injection,kernel_gap_to_best_injection,givens_exact_fidelity,givens_truncated_fidelity,givens_postselection_probability,givens_oracle_fidelity,givens_n_jc_pulses,givens_n_qubit_rotations
dirichlet,Dirichlet,8.0,4.19,0.675,48,100,8,0.5383748684495969,0.9999807915426554,0.0451095370779898,0.6325377414904928,0.4787586317021859,1893,2595,95,0.5835601283195667,0.9948670263481206,0.9999948446419347,0.07351326677798845,8.600313758882503,0.9989610514553566,7.9,4.1,0.5,48,0.5411525904379613,0.4564921578985237,0.6136244388951115,0.004094025107235999,0.9989610514553564,0.9999920899517579,0.06278915139876665,1.0,47,47
neumann,Neumann,8.0,4.35,0.3,24,100,6,0.9760495905265435,0.999976621713505,0.04893394269105696,0.9563777277556045,0.990272172262196,1951,2653,265,0.9661635935826624,0.9959230745818108,0.9999849402507709,0.055191995312303406,0.273532957218619,0.9997155021219948,7.9,4.0,0.3,48,0.9800451615566672,0.019873484055267343,0.8866130389772048,0.0037924275401839402,0.9997155021219946,0.9999844862585839,0.056162636164151854,1.0,47,47
periodic,Periodic,8.3,4.19,0.675,48,100,6,0.5845849281964229,0.9999999999999998,0.05278206532418987,0.6596857076696242,0.5102593553180966,1095,1397,129,0.6210010644517879,0.9942836823485832,1.0,0.048721394160628456,8.600315048254897,0.9997249405374592,8.1,4.1,0.3,48,0.587945813226647,0.4096987541521603,1.0833447242945036,0.005441258188875975,0.9997249405374592,1.0,0.04842141501316684,1.0000000000000004,47,47
