boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
neumann,7.9,4.0,0.3,48,100,snap_d,6,True,,0.9522857395428782,0.9999731134365669,0.03442949955041058,0.22384142299730167,0.005185295202724875,0.8240669245949421,0.38981992771566837,2095,2797,snap_d_layers,,,,0.9569764284258162,0.999568667245973,48,355,8,3000,prep_pde,0.18107103976465683,0.9522857395428782,0.8858595716707698,0.8240669245949421,0.9999731134365669,0.8858595716707698,grid
neumann,7.9,4.0,0.3,48,100,snap_d,10,True,,0.8503556810668992,0.9999613592795432,0.03559954319007268,0.41949791657864893,0.006216286159739412,0.7624207823017178,0.38981992771566837,2291,2993,snap_d_layers,,,,0.8505275621028007,0.999568667245973,48,205,8,3000,prep_pde,0.17398929218507886,0.8503556810668992,0.805188700612307,0.7624207823017178,0.9999613592795432,0.805188700612307,grid
neumann,7.9,4.0,0.3,48,100,snap_d,14,True,,0.6705950125530225,0.9999630432209731,0.04198409763108093,0.7008658925376842,0.006079321087196128,0.7277514863767233,0.38981992771566837,2487,3189,snap_d_layers,,,,0.6665920811445182,0.999568667245973,48,144,8,3000,prep_pde,0.16779251019620048,0.6705950125530225,0.6985889471944711,0.7277514863767233,0.9999630432209731,0.6985889471944711,grid
neumann,7.9,4.0,0.3,48,100,snap_d,18,True,,0.6603102500150564,0.9999672882877992,0.04237563594785879,0.7172444588619848,0.005719508920497394,0.7248213530926807,0.38981992771566837,2683,3385,snap_d_layers,,,,0.6573808041733055,0.999568667245973,48,107,8,3000,prep_pde,0.1672754218864136,0.6603102500150564,0.6918142589430196,0.7248213530926807,0.9999672882877992,0.6918142589430196,grid
neumann,7.9,4.0,0.3,48,100,snap_d,20,True,,0.6156610326456056,0.9999582890841694,0.05002664749729217,0.7901078492107835,0.006458533556751521,0.7542068199390697,0.38981992771566837,2781,3483,snap_d_layers,,,,0.6113892460281658,0.999568667245973,48,93,8,3000,prep_pde,0.17549774203100335,0.6156610326456056,0.6814218587571476,0.7542068199390697,0.9999582890841694,0.6814218587571476,grid
