time,norm_cv,norm_ref,norm_l2_error_normalized_raw,norm_l2_error_normalized_phase_aligned,shape_fidelity
0.0,0.7353963610803679,1.0,1.3607409000326035e-18,0.0,1.0
0.008333333333333333,0.7349924822410664,0.9836080454985621,0.011360337491710785,0.011360337491710785,0.9998709468960193
0.016666666666666666,0.7343669884215932,0.9677534179088785,0.022429010657409557,0.022429010657409557,0.9994970027484016
0.025,0.7335144310498952,0.9524183377119907,0.03319078905513063,0.03319078905513063,0.9988986749182239
0.03333333333333333,0.7324270386135275,0.9375855060539986,0.04362636228692231,0.04362636228692231,0.9980976461127782
0.041666666666666664,0.7310950781903832,0.9232380948991453,0.053712773631982874,0.053712773631982874,0.9971170188445191
0.05,0.7295073202955203,0.9093597375565929,0.06342396551352367,0.06342396551352367,0.9959814459250252
0.058333333333333334,0.7276515922001057,0.8959345195458105,0.07273142183056855,0.07273142183056855,0.9947171359324724
0.06666666666666667,0.7255154015157028,0.8829469697664384,0.08160489030630995,0.08160489030630995,0.9933517286407437
0.075,0.7230866088433597,0.8703820519396421,0.09001316702759614,0.09001316702759614,0.991914041862532
0.08333333333333333,0.7203541257989484,0.8582251562893379,0.09792492521156812,0.09792492521156812,0.9904336976476724
0.09166666666666666,0.7173086128906504,0.846462091433208,0.10530957077349298,0.10530957077349298,0.9889406419145923
0.1,0.7139431506861311,0.8350790764551512,0.11213810824367092,0.11213810824367092,0.9874645770548585
0.10833333333333334,0.710253857595417,0.8240627331326672,0.11838400169950876,0.11838400169950876,0.9860343315991715
0.11666666666666667,0.7062404285119356,0.8134000782946644,0.12402401633346677,0.12402401633346677,0.984677194519939
0.125,0.7019065705600103,0.8030785162872586,0.12903902678064189,0.12903902678064189,0.9834182441041414
0.13333333333333333,0.6972603153044002,0.7930858315272802,0.13341477814952094,0.13341477814952094,0.9822797025483311
0.14166666666666666,0.6923141909428667,0.7834101811254135,0.1371425846942933,0.1371425846942933,0.9812803475119691
0.15,0.6870852431234955,0.7740400875630888,0.14021994921569303,0.14021994921569303,0.9804350108063902
0.15833333333333333,0.6815948989414526,0.764964431409472,0.14265108370390886,0.14265108370390886,0.9797541921430756
0.16666666666666666,0.6758686751528327,0.7561724440670514,0.1444473087307915,0.1444473087307915,0.9792438123174894
0.175,0.6699357384190483,0.7476537005364589,0.14562730612411348,0.14562730612411348,0.9789051252346644
0.18333333333333332,0.663828332138652,0.7393981121931841,0.14621719715261355,0.14621719715261355,0.9787348016777689
0.19166666666666665,0.6575810907729378,0.7313959195708091,0.1462504176098217,0.1462504176098217,0.9787251896539619
0.2,0.65123026814546,0.7236376851472102,0.14576736270891064,0.14576736270891064,0.9788647466625993
0.20833333333333334,0.644812910614844,0.7161142861319032,0.14481477952053348,0.14481477952053348,0.9791386287019094
0.21666666666666667,0.6383660089381186,0.7088169072542776,0.14344489363572532,0.14344489363572532,0.9795294099349882
0.225,0.6319256637777116,0.7017370335539032,0.14171427037952067,0.14171427037952067,0.9800178966346221
