r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,score,source
1.1,0.2,0.6,8,8,injection,0,True,,0.6821118761325514,0.9999788354893349,0.3592547998793253,0.6826676860538914,0.004600538947842063,1.0,2.5161633669192927e-07,122,180,0.4950272371852996,oat_n_trotter_steps
1.1,0.2,0.6,8,16,injection,0,True,,0.6809899931264128,0.9999947041442792,0.35923613387280784,0.6844343351801118,0.002301278724321254,1.0,2.5161633669192927e-07,242,356,0.4946071292822239,oat_n_trotter_steps
1.1,0.2,0.6,8,32,injection,0,True,,0.6804102465250108,0.9999986752928121,0.3592289267486438,0.6853477649239623,0.0011509600091652444,1.0,2.5161633669192927e-07,482,708,0.4943915883264599,oat_n_trotter_steps
