r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,score,source
0.9,0.05,0.6,8,8,injection,0,True,,0.7715857746963309,0.9999644968613434,0.26135930160662374,0.544088401132642,0.0059585568029799,1.0,2.1686095016110315e-08,122,180,0.449066942898538,grid
0.9,0.05,0.6,8,16,injection,0,True,,0.7700037970618981,0.9999910786843299,0.261263927195551,0.54652986607606,0.0029868704794300963,1.0,2.1686095016110315e-08,242,356,0.44852448759892427,grid
0.9,0.05,0.6,8,32,injection,0,True,,0.7691794636172149,0.999997763408051,0.26121408872962654,0.5478017088969157,0.0014955256438530793,1.0,2.1686095016110315e-08,482,708,0.44824157845777063,grid
0.9,0.05,0.6,12,8,injection,0,True,,0.7625855452411618,0.9999664003966119,0.21982829687642935,0.5579680020264158,0.005796613870140857,1.0,4.538946864535222e-08,122,180,0.40943605316697246,grid
0.9,0.05,0.6,12,16,injection,0,True,,0.7610427896731802,0.9999915554255698,0.2197564363644832,0.5603450398271064,0.0029059672643763227,1.0,4.538946864535222e-08,242,356,0.40895482804273503,grid
0.9,0.05,0.6,12,32,injection,0,True,,0.7602395279261914,0.9999978827740508,0.21971872848802293,0.5615825043381758,0.0014550705934313797,1.0,4.538946864535222e-08,482,708,0.4087038810951978,grid
0.9,0.05,0.7,8,8,injection,0,True,,0.7685967744923711,0.999970352272846,0.25648525948028256,0.5487005876787436,0.0054450533668183206,1.0,1.8995548294967453e-08,122,180,0.4439974584852756,grid
0.9,0.05,0.7,8,16,injection,0,True,,0.7671504199111119,0.9999925421577363,0.25639357787801037,0.5509313246026041,0.0027309152098463152,1.0,1.8995548294967453e-08,242,356,0.4435002152554472,grid
0.9,0.05,0.7,8,32,injection,0,True,,0.766395406582402,0.999998129283477,0.2563445743323687,0.5520955447388198,0.00136774267402823,1.0,1.8995548294967453e-08,482,708,0.44323955630183604,grid
0.9,0.05,0.7,12,8,injection,0,True,,0.755744893893153,0.9999744053456898,0.2131585020079046,0.5685049034026197,0.005059180705723122,1.0,3.9558981403207755e-08,122,180,0.40136448458027185,grid
0.9,0.05,0.7,12,16,injection,0,True,,0.7543906510154772,0.9999935557094858,0.21309030989115674,0.5705901866827103,0.002538568896717342,1.0,3.9558981403207755e-08,242,356,0.4009405661739399,grid
0.9,0.05,0.7,12,32,injection,0,True,,0.7536835776520966,0.9999983827960418,0.213053305680184,0.5716788929075205,0.0012716943710971251,1.0,3.9558981403207755e-08,482,708,0.40071782797330946,grid
0.9,0.05,0.8,8,8,injection,0,True,,0.7641464859380301,0.9999764962796306,0.24470601735877867,0.5555624257863881,0.004848120543784641,1.0,1.6231125354717637e-08,122,180,0.4324248411604048,grid
0.9,0.05,0.8,8,16,injection,0,True,,0.762856786434424,0.9999940805459481,0.24462375872357311,0.5575500297578443,0.002433000018842131,1.0,1.6231125354717637e-08,242,356,0.431987146180734,grid
