boundary_condition,label,focus_n_coeff,beta_focus,r_target,r_prime,fidelity,infidelity,is_best_surface_point
neumann,Neumann,48,0.3,8.1,4.1,0.9921208299697296,0.007879170030270388,False
neumann,Neumann,48,0.3,8.16,4.1,0.9942380901221773,0.005761909877822657,False
neumann,Neumann,48,0.3,8.2,4.1,0.9941376692063812,0.005862330793618753,False
neumann,Neumann,48,0.3,8.3,4.1,0.9871877664221206,0.012812233577879417,False
neumann,Neumann,48,0.3,8.4,4.1,0.9694329659370243,0.030567034062975673,False
neumann,Neumann,48,0.3,7.8,4.19,0.9216860937098059,0.07831390629019408,False
neumann,Neumann,48,0.3,7.9,4.19,0.9309069150075643,0.06909308499243572,False
neumann,Neumann,48,0.3,8.0,4.19,0.944113807818168,0.055886192181831995,False
neumann,Neumann,48,0.3,8.1,4.19,0.9597109172591745,0.040289082740825544,False
neumann,Neumann,48,0.3,8.16,4.19,0.969122509550802,0.030877490449197964,False
neumann,Neumann,48,0.3,8.2,4.19,0.9749873027946521,0.025012697205347934,False
neumann,Neumann,48,0.3,8.3,4.19,0.9866360480850093,0.013363951914990735,False
neumann,Neumann,48,0.3,8.4,4.19,0.991661939798987,0.00833806020101302,False
neumann,Neumann,48,0.3,7.8,4.25,0.8970843640775198,0.10291563592248021,False
neumann,Neumann,48,0.3,7.9,4.25,0.9044150778391576,0.09558492216084236,False
neumann,Neumann,48,0.3,8.0,4.25,0.9163071882944175,0.08369281170558251,False
neumann,Neumann,48,0.3,8.1,4.25,0.9318025890044791,0.0681974109955209,False
neumann,Neumann,48,0.3,8.16,4.25,0.942041985589273,0.05795801441072701,False
neumann,Neumann,48,0.3,8.2,4.25,0.9489220430398266,0.051077956960173365,False
neumann,Neumann,48,0.3,8.3,4.25,0.964965991127645,0.03503400887235497,False
neumann,Neumann,48,0.3,8.4,4.25,0.977156634433821,0.022843365566179052,False
neumann,Neumann,48,0.3,7.8,4.35,0.8676652019517607,0.13233479804823933,False
neumann,Neumann,48,0.3,7.9,4.35,0.8719127733578922,0.1280872266421078,False
neumann,Neumann,48,0.3,8.0,4.35,0.8803587749069098,0.11964122509309016,False
neumann,Neumann,48,0.3,8.1,4.35,0.8924535243389431,0.1075464756610569,False
neumann,Neumann,48,0.3,8.16,4.35,0.9009910808767633,0.09900891912323673,False
neumann,Neumann,48,0.3,8.2,4.35,0.907006263347014,0.09299373665298605,False
neumann,Neumann,48,0.3,8.3,4.35,0.9222791590650705,0.07772084093492948,False
neumann,Neumann,48,0.3,8.4,4.35,0.9362116208219282,0.06378837917807179,False
neumann,Neumann,48,0.3,7.8,4.5,0.8231045205760013,0.17689547942399875,False
neumann,Neumann,48,0.3,7.9,4.5,0.8179487163874535,0.18205128361254652,False
neumann,Neumann,48,0.3,8.0,4.5,0.8168782550874307,0.18312174491256927,False
neumann,Neumann,48,0.3,8.1,4.5,0.8198309568226533,0.18016904317734672,False
neumann,Neumann,48,0.3,8.16,4.5,0.8232950293530257,0.17670497064697432,False
neumann,Neumann,48,0.3,8.2,4.5,0.8261737480051254,0.17382625199487456,False
neumann,Neumann,48,0.3,8.3,4.5,0.8346773740522817,0.1653226259477183,False
neumann,Neumann,48,0.3,8.4,4.5,0.8435367567852429,0.15646324321475713,False
periodic,Periodic,48,0.3,7.8,4.0,0.9817508309183217,0.018249169081678285,False
periodic,Periodic,48,0.3,7.9,4.0,0.9867138771593121,0.013286122840687864,False
periodic,Periodic,48,0.3,8.0,4.0,0.9771250303056929,0.022874969694307135,False
periodic,Periodic,48,0.3,8.1,4.0,0.9480604428907847,0.05193955710921527,False
periodic,Periodic,48,0.3,8.16,4.0,0.9209540840768244,0.07904591592317556,False
periodic,Periodic,48,0.3,8.2,4.0,0.8993594550815865,0.10064054491841345,False
periodic,Periodic,48,0.3,8.3,4.0,0.8366594538754568,0.16334054612454318,False
periodic,Periodic,48,0.3,8.4,4.0,0.7693481191020223,0.23065188089797772,False
periodic,Periodic,48,0.3,7.8,4.1,0.9593660356252305,0.040633964374769516,False
periodic,Periodic,48,0.3,7.9,4.1,0.9778828678894863,0.022117132110513693,False
periodic,Periodic,48,0.3,8.0,4.1,0.9928705288873114,0.007129471112688579,False
periodic,Periodic,48,0.3,8.1,4.1,0.9997249405374592,0.0002750594625408054,True
periodic,Periodic,48,0.3,8.16,4.1,0.9983162030122569,0.0016837969877431247,False
periodic,Periodic,48,0.3,8.2,4.1,0.9948104075512032,0.005189592448796798,False
periodic,Periodic,48,0.3,8.3,4.1,0.977457101714196,0.022542898285804025,False
periodic,Periodic,48,0.3,8.4,4.1,0.9508199407934692,0.04918005920653079,False
periodic,Periodic,48,0.3,7.8,4.19,0.9078876501791475,0.09211234982085248,False
periodic,Periodic,48,0.3,7.9,4.19,0.9252984312491994,0.07470156875080058,False
periodic,Periodic,48,0.3,8.0,4.19,0.9448763327564248,0.0551236672435752,False
periodic,Periodic,48,0.3,8.1,4.19,0.9640222095430201,0.03597779045697991,False
periodic,Periodic,48,0.3,8.16,4.19,0.9740247383671147,0.025975261632885327,False
periodic,Periodic,48,0.3,8.2,4.19,0.9797026841898573,0.020297315810142713,False
periodic,Periodic,48,0.3,8.3,4.19,0.9896357024425364,0.010364297557463598,False
periodic,Periodic,48,0.3,8.4,4.19,0.993410923112856,0.006589076887144052,False
periodic,Periodic,48,0.3,7.8,4.25,0.872926486145285,0.127073513854715,False
periodic,Periodic,48,0.3,7.9,4.25,0.8880190726655847,0.11198092733441534,False
periodic,Periodic,48,0.3,8.0,4.25,0.9062610964140893,0.09373890358591075,False
periodic,Periodic,48,0.3,8.1,4.25,0.925915008690298,0.07408499130970203,False
periodic,Periodic,48,0.3,8.16,4.25,0.9374392521848622,0.06256074781513776,False
periodic,Periodic,48,0.3,8.2,4.25,0.9447012452244827,0.05529875477551727,False
periodic,Periodic,48,0.3,8.3,4.25,0.9605405221918956,0.03945947780810444,False
periodic,Periodic,48,0.3,8.4,4.25,0.9724101827514854,0.027589817248514614,False
periodic,Periodic,48,0.3,7.8,4.35,0.8181810261362982,0.18181897386370183,False
periodic,Periodic,48,0.3,7.9,4.35,0.8286009976318536,0.17139900236814642,False
periodic,Periodic,48,0.3,8.0,4.35,0.8433493976644342,0.15665060233556583,False
periodic,Periodic,48,0.3,8.1,4.35,0.8614100535933242,0.13858994640667577,False
periodic,Periodic,48,0.3,8.16,4.35,0.8731951405219582,0.12680485947804176,False
periodic,Periodic,48,0.3,8.2,4.35,0.8812054866680136,0.11879451333198643,False
periodic,Periodic,48,0.3,8.3,4.35,0.9009244992084441,0.09907550079155591,False
periodic,Periodic,48,0.3,8.4,4.35,0.9189838453352734,0.08101615466472656,False
periodic,Periodic,48,0.3,7.8,4.5,0.7956657713741795,0.2043342286258205,False
periodic,Periodic,48,0.3,7.9,4.5,0.7947377717636407,0.2052622282363593,False
periodic,Periodic,48,0.3,8.0,4.5,0.7971716329424967,0.2028283670575033,False
periodic,Periodic,48,0.3,8.1,4.5,0.8024108142833521,0.19758918571664785,False
periodic,Periodic,48,0.3,8.16,4.5,0.806507321002091,0.193492678997909,False
periodic,Periodic,48,0.3,8.2,4.5,0.8094750871451019,0.19052491285489814,False
periodic,Periodic,48,0.3,8.3,4.5,0.8170777231256412,0.1829222768743588,False
periodic,Periodic,48,0.3,8.4,4.5,0.823726237721785,0.176273762278215,False
