step,time,pde_error,post_prob,fidelity,trace_distance,u_target_real_0,u_target_imag_0,u_quantum_real_0,u_quantum_imag_0,u_target_real_1,u_target_imag_1,u_quantum_real_1,u_quantum_imag_1,u_target_real_2,u_target_imag_2,u_quantum_real_2,u_quantum_imag_2,u_target_real_3,u_target_imag_3,u_quantum_real_3,u_quantum_imag_3
0.0,0.0,0.03032411378914246,0.940271324298812,1.0,2.2129170064533504e-16,0.0,0.0,-1.6132924197156667e-16,1.0329505199119872e-16,1.0,0.0,0.9696758862108575,1.0112106645728986e-16,0.0,0.0,5.870869737699974e-19,1.3306235686381827e-17,0.0,0.0,7.89332680147491e-17,5.422406351214498e-17
1.0,0.025,0.023011983968429555,0.9146448681830258,0.9994898517205264,0.02258646230540884,0.02378569031950834,0.0,0.008948172596143973,0.0030272689308889406,0.951824020306469,0.0,0.95627812819393,-0.00015010643739454637,0.023788167711710946,0.0,0.008881302047184875,0.002979179912871856,0.0002973056444861669,0.0,1.2403622569670855e-16,8.48121978698985e-17
2.0,0.05,0.023416615146539407,0.8456747570865678,0.9995833524541945,0.020411946154280124,0.04527958424444356,0.0,0.034366974043198426,0.005035117693140945,0.9071006900100717,0.0,0.9183083590961074,-0.0004937577578944956,0.04529844209415048,0.0,0.03374168723364473,0.004846415539539502,0.0011317538338860302,0.0,-0.003966917841275958,0.0003224141360915363
3.0,0.07500000000000001,0.019973581919975596,0.7528782488464172,0.999609482074102,0.019761526406079085,0.06467422042488691,0.0,0.07216726197370635,0.00516695690359886,0.8655551351712106,0.0,0.8617682344987445,-0.0007521546782622921,0.064734790035229,0.0,0.0698133788597102,0.004847568516830945,0.0024241470535175578,0.0,-0.009969244702764519,0.001260692655119216
4.0,0.1,0.07031798252782946,0.657710743631807,0.995769586112252,0.06504163195790573,0.08214632690789524,0.0,0.11663596106099018,0.003095399475475895,0.8269351322889954,0.0,0.7947053286344007,-0.000610653156304974,0.08228298684610116,0.0,0.11085822753096267,0.002911318072411523,0.004103897001077215,0.0,-0.015326048547827636,0.002715200870976752
5.0,0.125,0.13536300733470719,0.5751159190453948,0.983944389829971,0.12671073423364348,0.09785812089856347,0.0,0.16188754419293064,-0.0007584648144846109,0.791009210843348,0.0,0.725110502075831,9.315123879206943e-05,0.09811223154611112,0.0,0.1509822486149295,-0.00025563974999468956,0.006108181265554896,0.0,-0.01758466966874923,0.004194348343178694
6.0,0.15000000000000002,0.20028450799603245,0.5107527432145369,0.9632692603274648,0.19165265370595608,0.11195850086319618,0.0,0.20313322840511266,-0.005316906091650911,0.757564916338662,0.0,0.6592296583735326,0.001242978557602549,0.11237661952020823,0.0,0.18602457737880357,-0.003459286151203813,0.008381178744454973,0.0,-0.01527744479595049,0.005056421437629077
7.0,0.17500000000000002,0.2569238154755064,0.46333544697653173,0.9373220317765992,0.2503556834254038,0.12458413996855204,0.0,0.23735925023194598,-0.009305652535958553,0.7264072201865375,0.0,0.6008002398497333,0.00249078124655555,0.1252164850789302,0.0,0.21405688868054398,-0.005613736835836023,0.010873376637576197,0.0,-0.008168753042341848,0.004869474602206163
8.0,0.2,0.30139864629751617,0.4286431037625042,0.9116654168882217,0.29721134418419903,0.135860489093892,0.0,0.2633215447605594,-0.011824326283443414,0.6973570639331883,0.0,0.5512326991300264,0.003462408827635061,0.13675962535472228,0.0,0.23501920097405002,-0.006269242826829093,0.013540942496753892,0.0,0.002998505523506505,0.003641016728724262
9.0,0.225,0.33306472382160707,0.40242332124689517,0.8906474609835903,0.33068495432421796,0.14590269695949865,0.0,0.2810924243426274,-0.012637840983291775,0.6702500264050115,0.0,0.510341186445558,0.003960722753154686,0.14712241596765965,0.0,0.2499243758106233,-0.00570655716582289,0.01634515539530842,0.0,0.016999468279940158,0.0017609517756176246
10.0,0.25,0.35315230485834137,0.3815335454359167,0.876182326128327,0.35187735629288874,0.1548164542809647,0.0,0.29150942597031515,-0.012048355898915536,0.6449351033221445,0.0,0.47712504693340185,0.004013922997060295,0.1564108279802484,0.0,0.260123191460509,-0.004593111827015464,0.019251890813473043,0.0,0.03257262091834045,-0.0002609446952654676
11.0,0.275,0.3637078549493487,0.3639785863214474,0.8682158587064375,0.3630208551771682,0.1626987682778855,0.0,0.29575588373323275,-0.010553826531926677,0.6212735898224706,0.0,0.45029832839350853,0.0037725520281351598,0.16472135482729164,0.0,0.2668869053442824,-0.0035279633274378666,0.0222311543213529,0.0,0.048657749832055695,-0.0020494421573201095
12.0,0.30000000000000004,0.3670545853005032,0.34859497942440654,0.86556538653386,0.36665326054208125,0.16963867333406013,0.0,0.29511838134394247,-0.008583948366310462,0.5991380571546743,0.0,0.4285399120270475,0.0033801135769116865,0.17214185714588767,0.0,0.2712867118787789,-0.002797201175035926,0.025256659583156597,0.0,0.0644380053212277,-0.003463231676963898
13.0,0.325,0.3655364934488982,0.3347399770737986,0.8665799440231068,0.36526710223738074,0.17571788311972178,0.0,0.29085577488105974,-0.006431839091721412,0.5784114155451519,0.0,0.4105988089684223,0.002922400906220319,0.1787523327361403,0.0,0.2742035338986888,-0.00241522746935924,0.028305446609339355,0.0,0.07929441966455489,-0.004537407684449847
14.0,0.35000000000000003,0.3612586431258335,0.32206314142442793,0.8696433353682294,0.3610493936177851,0.18101138904087286,0.0,0.28410352478444134,-0.004307583614295904,0.5589860559258609,0.0,0.3953850893984436,0.0024571162541654878,0.1846256182493227,0.0,0.2763196854582721,-0.0023056200069473823,0.03135753655036668,0.0,0.0927779414700448,-0.005360609591675731
15.0,0.375,0.3557908560450991,0.31035627488451395,0.8735420258503175,0.3556092998638849,0.18558800947297843,0.0,0.2757889670544936,-0.0023863315617221764,0.5407630638340466,0.0,0.3820724425792422,0.002052849949715668,0.18982802862175774,0.0,0.2780621091129089,-0.0024306068874753234,0.03439561966020923,0.0,0.1046288880078141,-0.005984296609473891
16.0,0.4,0.3500177297493243,0.2994687826750307,0.8776066459568025,0.3498476154602136,0.18951089386289616,0.0,0.26658602107905216,-0.0007938004833735815,0.5236514993652128,0.0,0.3701490023709728,0.0017797345874150834,0.19441993974474633,0.0,0.2795693490354898,-0.002786838583129912,0.0374047733622969,0.0,0.11479868370203972,-0.006408536533208353
17.0,0.42500000000000004,0.3442722624136613,0.2892705228798754,0.8815939513487023,0.3441017998373413,0.19283798544104516,0.0,0.2569422662527049,0.00043692201980920567,0.5075677375823031,0.0,0.35935697367853064,0.001660570421488705,0.19845631937907862,0.0,0.280756937744102,-0.0033239620579785137,0.04037220762812415,0.0,0.12341564283174909,-0.006624504181374542
