stage,r_target,r_prime,kernel_beta,disp_phase,theory_gamma,theory_ok,theory_reason,tail_mass_est,n_eff,post_prob,pde_error,fidelity,rho_purity,pauli_rmse,objective,feasible
coarse,0.3,0.03,0.35,0.0,0.39295289749022233,1,,5.080581086946978e-07,1.2705743227405124,0.27157696474195925,0.2477076891434777,0.9837931191518023,0.9781048653101138,0.051280178935212674,0.24743611217873576,1
coarse,0.3,0.03,0.425,0.0,0.39295289749022233,1,,4.462309850516988e-07,1.2098510588919498,0.2763667356839947,0.2585164363181485,0.9855279025766911,0.9818677356226206,0.05199021655378671,0.25824006958246454,1
coarse,0.3,0.03,0.5,0.0,0.39295289749022233,1,,3.878121611622376e-07,1.1591188338225271,0.2805858948942047,0.2679827704609011,0.9870146679922217,0.98512424515023,0.05266618736387501,0.26770218456600686,1
coarse,0.3,0.03,0.575,0.0,0.39295289749022233,1,,3.333174990460819e-07,1.1182950073923692,0.28415218940856635,0.2759385244603858,0.9882462459277118,0.9878394223961291,0.05326098605148508,0.2756543722709772,1
coarse,0.3,0.03,0.6499999999999999,0.0,0.39295289749022233,1,,2.8315286815239205e-07,1.08741718338333,0.2869764736573891,0.28220282451143935,0.9892121977138634,0.9899732975767348,0.05373290925729001,0.28191584803778197,1
coarse,0.3,0.03,0.725,0.0,0.39295289749022233,1,,2.376026956296684e-07,1.0667385736237678,0.288960091848513,0.2865736184234477,0.9898969926311508,0.9914770885483999,0.05404420247838463,0.28628465833159916,1
coarse,0.3,0.03,0.7999999999999999,0.0,0.39295289749022233,1,,1.9682235252727054e-07,1.056833201787092,0.28999144539747157,0.2888175059429674,0.9902774899727625,0.9922882516069118,0.05416011369399802,0.2885275144975699,1
coarse,0.3,0.03,0.875,0.0,0.39295289749022233,1,,1.6083664111654628e-07,1.0587298218803332,0.2899413801293202,0.2886567734167987,0.9903192344279799,0.9923236128287276,0.054048922220448894,0.28836683203666935,1
coarse,0.3,0.03,0.95,0.0,0.39295289749022233,1,,1.2954607120363448e-07,1.0741013125907204,0.28865678305259246,0.2857519877750929,0.9899707152899001,0.9914692335771116,0.05368380341711994,0.28546333099204035,1
coarse,0.3,0.09166666666666667,0.35,0.0,0.28367897651757623,1,,9.591882617066005e-07,1.2772393356561529,0.2692058584691388,0.2456789729267575,0.9843335488836025,0.9815791830256873,0.05681567842260326,0.24540976706828835,1
