boundary_condition,beta,epsilon,trunc_multiplier,init_basis_index,h1,K,Q,M_DV,m_c,coeff_l1_norm,classical_exact_fidelity,classical_relative_error,classical_solution_norm,exact_solution_norm
dirichlet,0.8,0.1,1.0,1,0.10167937678732318,2.847022550045049,4,224,8,1.07337103706584,0.9877686288672729,0.23411096210141705,0.5067196865833663,0.4221937849483996
neumann,0.8,0.1,1.0,1,0.10774939365999787,2.9092336288199427,4,216,8,1.0830810545323972,0.9967434660475796,0.08360956095867274,0.5583467256989966,0.5270021791129806
periodic,0.8,0.1,1.0,1,0.09196986029286058,2.851065669078678,4,248,8,1.0740107101347334,0.999722297477241,0.04384539333556406,0.5297360627218589,0.5091578194443671
