beta,eta_err,fidelity,map_err_best_scale,map_scale_imag,map_scale_real,objective,post_prob,r_prime,r_target,status,vec_err_best_scale,vec_scale_imag,vec_scale_real
0.82,1.1474584887520316,0.36258159582613114,2.135994806025173,0.0,0.22182836243738985,2.3757642037965256,0.0397988975405527,3.6,7.6,ok,1.3258958805752457,0.0,0.28452901682489273
0.83,1.2889943652655753,0.2886759183009356,2.653874811651546,0.0,0.18842143959443478,2.882246331088249,0.03996003127914555,3.6,7.6,ok,1.5697427211775228,0.0,0.2543937000085156
0.84,1.4716503407930275,0.21209384798311956,3.5202704286145656,0.0,0.1499548169980542,3.67693653693375,0.04045177896985683,3.6,7.6,ok,1.9274060150256234,0.0,0.21939211390052987
0.85,1.7147589881686442,0.13795179865804186,5.2550314474604765,0.0,0.10595559867756854,5.120399873732675,0.041392349966905155,3.6,7.6,ok,2.4997817399353384,0.0,0.17898304380591049
0.86,2.0515897597424333,0.07330012420954446,10.424958366064754,0.0,0.05620458868170095,8.764449378075598,0.042909360464814125,3.6,7.6,ok,3.5556352012536996,0.0,0.13283622964366196
0.87,2.544429063910269,0.025939538807332553,656.2005930926758,0.0,0.0009357105680517846,334.2269018667663,0.045115416464406935,3.6,7.6,ok,6.127902297368761,0.0,0.08102737595782768
0.88,3.3244830224518074,0.0021822485428161535,10.847111186226252,0.0,-0.05895167773030255,26.80668630692549,0.04806801949970262,3.6,7.6,ok,21.383239826239503,0.0,0.024258748085247844
0.8899999999999999,4.722258151411553,0.004461455138476759,5.4248311847939386,0.0,-0.12175998021266828,17.650134716642324,0.051721166279639366,3.6,7.6,ok,14.937942197002279,0.0,-0.03597995236527588
0.8999999999999999,7.873836495595783,0.030282069754568014,3.651117063465317,0.0,-0.18506975912051685,7.482917269803631,0.055888729811429165,3.6,7.6,ok,5.6588728415587,0.0,-0.09744129826135317
0.9099999999999999,20.997261002043697,0.07334773090746416,2.7793553002950695,0.0,-0.246111135899419,4.940400074388878,0.06024172332825935,3.6,7.6,ok,3.554389810786717,0.0,-0.15744548072127193
0.9199999999999999,39.21011299262855,0.1262438215250778,2.2657872513080815,0.0,-0.3023536714150989,3.757394945488545,0.06433672468573098,3.6,7.6,ok,2.630813510910758,0.0,-0.21346304698830287
0.9299999999999999,10.838950091806169,0.1832829584793481,1.9271004755266479,0.0,-0.35204038665967535,3.0653206275408595,0.06763660048073301,3.6,7.6,ok,2.110934537701503,0.0,-0.26371819402006874
0.94,6.493579015103615,0.24251413337384423,1.6802775746939438,0.0,-0.3943574603100766,2.595347518824639,0.06950111647201511,3.6,7.6,ok,1.7673344381463592,0.0,-0.307505283133312
0.95,4.6635997973988195,0.30667918222575974,1.4779527413378941,0.0,-0.42912763692529976,2.2272169821478167,0.06920692200768064,3.6,7.6,ok,1.5035745705901573,0.0,-0.34506831216323486
0.96,3.558263713182165,0.38357171841603827,1.2873385992258957,0.0,-0.4559374400127851,1.892195087773543,0.06603546705800044,3.6,7.6,ok,1.2677043740813971,0.0,-0.3769641762620596
0.97,2.7109928112619355,0.4855937613532184,1.0835498643351804,0.0,-0.4716349792068286,1.546735026350521,0.05930943496098088,3.6,7.6,ok,1.0292397822505919,0.0,-0.4019634885365297
0.98,1.9594341932607833,0.6205624016511339,0.8566575713298977,0.0,-0.4623943785965176,1.1792479068584893,0.04813904059698874,3.6,7.6,ok,0.781947241276097,0.0,-0.4093828160407328
0.82,1.426543293089464,0.23912601601489042,3.1479613960463237,0.0,0.1642356067349549,3.345811227789082,0.040534975269451656,3.65,7.6,ok,1.7837868305666646,0.0,0.23319355031832242
0.83,1.6794140811597957,0.15567231947206683,4.677844155267584,0.0,0.11710840604310552,4.6600329634328554,0.04125971221029742,3.65,7.6,ok,2.3288945017726665,0.0,0.1898265520988538
0.84,2.033316373380266,0.08247481581700718,9.045141252645044,0.0,0.06397370935674696,7.853849920626716,0.042617668339177774,3.65,7.6,ok,3.3354030350950445,0.0,0.14042475795903514
0.85,2.5589602608997706,0.02890582963308528,117.0280103777079,0.0,0.005196368857929171,64.30868771610945,0.04473648892291031,3.65,7.6,ok,5.7961278187371565,0.0,0.08517493907146884
0.86,3.4118017098840103,0.0023233386243194944,10.9103392876216,0.0,-0.05815630789852206,26.177386566358873,0.047679842659437595,3.65,7.6,ok,20.72233308947929,0.0,0.02492940006427814
0.87,5.012817297088368,0.005188031838099105,5.280522447815544,0.0,-0.12422854588972636,16.487432013225387,0.05139596006838323,3.65,7.6,ok,13.84743019090952,0.0,-0.03867710611397206
0.88,9.037372248072023,0.03416819726596226,3.5222542499341,0.0,-0.1905091632706049,7.076088874128268,0.05568348078472544,3.65,7.6,ok,5.316670159024516,0.0,-0.10331476321726608
0.8899999999999999,36.782791262305324,0.08189549492817379,2.6693787223468415,0.0,-0.25422050211804575,4.678830522391029,0.06019805176702363,3.65,7.6,ok,3.3482359359640164,0.0,-0.1663065629680501
0.8999999999999999,19.77259156369063,0.14009522031933366,2.16850002715899,0.0,-0.3128474097272884,3.5547444483899686,0.06449786673014665,3.65,7.6,ok,2.47749919582644,0.0,-0.2251502837997383
0.9099999999999999,8.138538412262742,0.20230805013336794,1.8387109081034505,0.0,-0.3645646312214063,2.8949281027656837,0.06809039496834308,3.65,7.6,ok,1.9856880512206265,0.0,-0.2779954405352527
0.9199999999999999,5.2350364371021785,0.26540490421027435,1.6010228535625046,0.0,-0.4083441212176404,2.450920203842622,0.07043923325276766,3.65,7.6,ok,1.6636790222718834,0.0,-0.3238545073933126
0.9299999999999999,3.8735459512603763,0.3300881555208414,1.4126317266384714,0.0,-0.443696091812574,2.11441446606256,0.0709483084892904,3.65,7.6,ok,1.4246030105193666,0.0,-0.36247174408060556
0.94,3.026533292645159,0.400796393648156,1.2456155430256237,0.0,-0.47013291658581596,1.8254831394566597,0.06900629420268223,3.65,7.6,ok,1.2227151876262559,0.0,-0.3939076538031506
0.95,2.384583040023462,0.48513905085865455,1.0791061744428037,0.0,-0.48624233291542734,1.5454731581746035,0.06411728856964567,3.65,7.6,ok,1.0301770234961345,0.0,-0.4177426865883616
0.96,1.8210940841068828,0.5916274445523458,0.8973781037574193,0.0,-0.48765650842495734,1.2499222759670434,0.0560119708654322,3.65,7.6,ok,0.830814596315951,0.0,-0.4311741811469765
0.97,1.2840770456497506,0.7202882294897188,0.6947609467988249,0.0,-0.4634698758270014,0.934529855106367,0.044709045685024165,3.65,7.6,ok,0.6231637931814404,0.0,-0.42504902378834764
0.98,0.7730094643897102,0.8448655114076785,0.4912256206683054,0.0,-0.40094630962083744,0.6318789692262761,0.03145357787155311,3.65,7.6,ok,0.4285094344625072,0.0,-0.3861152742539816
0.82,2.0059788176724225,0.09526841405823237,7.352737025989282,0.0,0.07736364487418507,6.753269969247992,0.04359223720332926,3.7,7.6,ok,3.081664876956262,0.0,0.15263959708406802
0.83,2.5557205684638844,0.03429944480120091,40.59812150521571,0.0,0.01480603390313515,25.603473452151498,0.045771425346023895,3.7,7.6,ok,5.306127671783704,0.0,0.09384884404321893
0.84,3.4662059095979667,0.003221357383571121,11.973119127685761,0.0,-0.052624116131428034,23.576968297502265,0.048893555793272536,3.7,7.6,ok,17.590569801528563,0.0,0.02972579168118491
0.85,5.244797173282295,0.004856018940879023,5.318802271377635,0.0,-0.12291690178426834,16.974534823560344,0.05290084241024761,3.7,7.6,ok,14.315376488818572,0.0,-0.037962923008118175
0.86,10.186831061839415,0.03527448328442311,3.466933910634452,0.0,-0.19338579425810565,6.961340325325557,0.05756511509949579,3.7,7.6,ok,5.229637094172552,0.0,-0.1067328689294642
0.87,89.02423273232804,0.08610704123846823,2.6007182704857144,0.0,-0.26109278041256245,4.553883139182416,0.06250259765878183,3.7,7.6,ok,3.2578293560014813,0.0,-0.17376268994823094
0.88,14.250435233759932,0.1481894575176596,2.1000009759175122,0.0,-0.3233994626391876,3.4401143969340304,0.06723912169931129,3.7,7.6,ok,2.3975233818511574,0.0,-0.23643285920146023
0.8899999999999999,6.823151966464818,0.21435992603330495,1.7730819358332062,0.0,-0.3783965933660146,2.7902552789161663,0.07128519499832756,3.7,7.6,ok,1.9144323073012286,0.0,-0.29279228864130463
0.8999999999999999,4.561166592983002,0.2806791756335572,1.5397758438044944,0.0,-0.42501479404468034,2.3567245322706616,0.07417046603131283,3.7,7.6,ok,1.6008705691500924,0.0,-0.341750189632575
0.9099999999999999,3.4376645868070383,0.3465507539389675,1.3587992070152215,0.0,-0.46279388307367286,2.0352363741560073,0.07542742588142534,3.7,7.6,ok,1.3731643083453449,0.0,-0.38294484843505516
0.9199999999999999,2.7289589956853773,0.4143894707933052,1.2047430812689703,0.0,-0.4914463828816441,1.7704282143119312,0.07457939646591197,3.7,7.6,ok,1.1887761472171112,0.0,-0.41639159291116007
0.9299999999999999,2.199326321867941,0.48906415822464844,1.0594486120711673,0.0,-0.5103493446649389,1.5273872860565432,0.07121176043901932,3.7,7.6,ok,1.022116187932192,0.0,-0.44202511244171594
0.94,1.7476826023630128,0.5767327605260875,0.9087982240894911,0.0,-0.517872391722446,1.282245214046482,0.06512792741087059,3.7,7.6,ok,0.8566827400280407,0.0,-0.4590490614814823
0.95,1.3264505391769459,0.681523070673225,0.7426106082369361,0.0,-0.5103117602655183,1.020823883168488,0.05649850623367196,3.7,7.6,ok,0.6835947325836811,0.0,-0.4647794610242053
0.96,0.9212515219264966,0.7971381026523701,0.5590628677001046,0.0,-0.4815136210503346,0.7441423364351353,0.04601045295160131,3.7,7.6,ok,0.5044678077177015,0.0,-0.45361060856556584
0.97,0.55401546137111,0.8976158302008572,0.37911734619252324,0.0,-0.43033666133675624,0.48240905970486747,0.03546345854429434,3.7,7.6,ok,0.3377311781186487,0.0,-0.42259461581045665
0.98,0.29617892055751843,0.9534792274014159,0.2716818427415273,0.0,-0.3801853279368742,0.3090527823572086,0.02839047467664512,3.7,7.6,ok,0.2208858223565158,0.0,-0.3896997336990581
0.82,3.44735261841893,0.005619426653533311,15.48367883417157,0.0,-0.04041080437336432,21.043967917336644,0.05124340181859531,3.75,7.6,ok,13.30240947158354,0.0,0.04019325182772858
0.83,5.306190779446129,0.0032465987169756926,5.656792370039701,0.0,-0.11537784784739898,20.350067663523248,0.055586728849738413,3.75,7.6,ok,17.521833808439244,0.0,-0.031819110094835235
0.84,10.801060285621388,0.03254565673003057,3.5223330156282735,0.0,-0.19083564076248558,7.211700823957251,0.06070550600523815,3.75,7.6,ok,5.452161598979616,0.0,-0.10528069073720775
0.85,407.0171844064783,0.08451920835189392,2.5909872608553837,0.0,-0.26358551013743575,4.58241184595212,0.0661743467276612,3.75,7.6,ok,3.291144175942023,0.0,-0.17713757942817304
0.86,12.17068459172014,0.14912018186523793,2.069710366643618,0.0,-0.33073116321563956,3.4161227675145054,0.07147233806054476,3.75,7.6,ok,2.3887235932859583,0.0,-0.24452618440418866
0.87,6.176348099240441,0.21835276993190705,1.7355945338032817,0.0,-0.39017476911895005,2.748901026540374,0.07608602311219875,3.75,7.6,ok,1.8920213981353284,0.0,-0.30529518820113677
0.88,4.201440111136765,0.2874756372565136,1.5006271697432751,0.0,-0.4407772187398211,2.310282726990603,0.07957131060463178,3.75,7.6,ok,1.574342923981791,0.0,-0.35823411558600154
0.8899999999999999,3.1977262297144624,0.35491781939373274,1.3218589241145229,0.0,-0.48215857540986534,1.9913503475259344,0.08154895256743992,3.75,7.6,ok,1.3481667764383596,0.0,-0.4029593711184097
