boundary,r_target,r_prime,beta,n_coeff,n_fock,n_quad,coeff_backend,total_time,evaluation,state_prep_method,oracle_fidelity,oracle_fidelity_basis,rel_frobenius_error,rel_spectral_error,worst_scaled_relative_error,worst_conditional_fidelity,p_min,p_max,alpha_target_re,alpha_target_im,best_fit_scale_re,best_fit_scale_im,best_fit_rel_frobenius_error,per_input,grid_index,is_best_fixed_alpha,hbar_convention
dirichlet,1.0,0.4,0.3,16,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,1.394715156475627,1.479987440849197,2.0440120286916637,0.16001644816999222,0.026170174021194623,0.03127338012012302,3.761388979182015,0.0,1.2956706342076776,-2.0322808217586024e-16,0.7996512038320445,"[{""conditional_fidelity"": 0.16001644816999244, ""index"": 0, ""scaled_relative_error"": 2.044012028691662, ""success_probability"": 0.031273380120122984}, {""conditional_fidelity"": 0.6089869046985312, ""index"": 1, ""scaled_relative_error"": 0.9098181729540339, ""success_probability"": 0.026170174021194623}, {""conditional_fidelity"": 0.6089869046985319, ""index"": 2, ""scaled_relative_error"": 0.9098181729540338, ""success_probability"": 0.026170174021194634}, {""conditional_fidelity"": 0.16001644816999222, ""index"": 3, ""scaled_relative_error"": 2.0440120286916637, ""success_probability"": 0.03127338012012302}]",0,False,code_hbar1
dirichlet,1.0,0.4,0.3,24,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,3.369938334024379,3.5114323211883884,3.4536231814510843,0.08521335050491866,0.0015921160049371904,0.003538014256775059,25.62678423343851,0.0,2.2788585953412706,1.4156067552763533e-15,0.9488882494824482,"[{""conditional_fidelity"": 0.13384783041694284, ""index"": 0, ""scaled_relative_error"": 3.196175007718021, ""success_probability"": 0.0015921160049371904}, {""conditional_fidelity"": 0.08521335050491866, ""index"": 1, ""scaled_relative_error"": 3.4536231814510843, ""success_probability"": 0.003538014256775059}, {""conditional_fidelity"": 0.08521335050491907, ""index"": 2, ""scaled_relative_error"": 3.4536231814510834, ""success_probability"": 0.0035380142567750564}, {""conditional_fidelity"": 0.1338478304169427, ""index"": 3, ""scaled_relative_error"": 3.1961750077180224, ""success_probability"": 0.0015921160049371904}]",1,False,code_hbar1
dirichlet,1.0,0.4,0.3,32,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,73.10833114129191,78.34105056404823,76.17823115164808,0.0003080074378292518,0.008612964034300286,0.022547065493378805,214.10497473356037,0.0,-0.06325923612043788,1.6735129144892532e-16,0.9997668631502672,"[{""conditional_fidelity"": 0.0003080074378292518, ""index"": 0, ""scaled_relative_error"": 66.55169021136103, ""success_probability"": 0.008612964034300286}, {""conditional_fidelity"": 0.0005484690931303708, ""index"": 1, ""scaled_relative_error"": 76.17823115164808, ""success_probability"": 0.022547065493378805}, {""conditional_fidelity"": 0.0005484690931303488, ""index"": 2, ""scaled_relative_error"": 76.17823115164805, ""success_probability"": 0.02254706549337878}, {""conditional_fidelity"": 0.00030800743782925783, ""index"": 3, ""scaled_relative_error"": 66.55169021136106, ""success_probability"": 0.008612964034300289}]",2,False,code_hbar1
dirichlet,1.0,0.4,0.5,16,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,0.14198582915373956,0.14544036358257484,0.20483423494996406,0.9598405027190986,0.017816104164085314,0.03342647555334713,2.287176952101245,0.0,2.261609278110017,3.984173814517251e-16,0.14154409694679473,"[{""conditional_fidelity"": 0.9598405027190986, ""index"": 0, ""scaled_relative_error"": 0.20483423494996378, ""success_probability"": 0.017816104164085314}, {""conditional_fidelity"": 0.9907734000202871, ""index"": 1, ""scaled_relative_error"": 0.09618134200921881, ""success_probability"": 0.033426475553347094}, {""conditional_fidelity"": 0.990773400020287, ""index"": 2, ""scaled_relative_error"": 0.09618134200921885, ""success_probability"": 0.03342647555334713}, {""conditional_fidelity"": 0.9598405027190989, ""index"": 3, ""scaled_relative_error"": 0.20483423494996406, ""success_probability"": 0.017816104164085328}]",3,False,code_hbar1
dirichlet,1.0,0.4,0.5,24,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,0.9788672728037772,1.0015741717857143,0.9917639516210369,0.5070752444586342,0.0008802171001363715,0.0019436480222467674,13.650146751347123,0.0,6.9701563341535255,5.2292753351373625e-15,0.6978909474278021,"[{""conditional_fidelity"": 0.5070752444586342, ""index"": 0, ""scaled_relative_error"": 0.9525761085030744, ""success_probability"": 0.0008802171001363715}, {""conditional_fidelity"": 0.5161707810696494, ""index"": 1, ""scaled_relative_error"": 0.9917639516210369, ""success_probability"": 0.0019436480222467674}, {""conditional_fidelity"": 0.5161707810696495, ""index"": 2, ""scaled_relative_error"": 0.9917639516210366, ""success_probability"": 0.0019436480222467661}, {""conditional_fidelity"": 0.5070752444586342, ""index"": 3, ""scaled_relative_error"": 0.952576108503075, ""success_probability"": 0.0008802171001363719}]",4,False,code_hbar1
dirichlet,1.0,0.4,0.5,32,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,19.8842430271379,21.30746099828902,20.719185503964898,0.007384055196694367,0.0025623563655917028,0.006704119257007115,107.154523268098,0.0,0.462078483541255,1.652844755558703e-15,0.9962943359027032,"[{""conditional_fidelity"": 0.007522679168325148, ""index"": 0, ""scaled_relative_error"": 18.10098976504885, ""success_probability"": 0.0025623563655917028}, {""conditional_fidelity"": 0.007384055196694442, ""index"": 1, ""scaled_relative_error"": 20.719185503964898, ""success_probability"": 0.006704119257007115}, {""conditional_fidelity"": 0.007384055196694367, ""index"": 2, ""scaled_relative_error"": 20.71918550396489, ""success_probability"": 0.006704119257007105}, {""conditional_fidelity"": 0.0075226791683251715, ""index"": 3, ""scaled_relative_error"": 18.100989765048862, ""success_probability"": 0.0025623563655917028}]",5,False,code_hbar1
dirichlet,1.0,0.4,0.7,16,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,0.14346896947789523,0.1481678771276221,0.2069369460345345,0.9637009942911066,0.023607695094251306,0.04339747732125517,2.0653356362249404,0.0,1.9791097585697919,-2.0545483170420425e-16,0.13682364070079453,"[{""conditional_fidelity"": 0.9637009942911066, ""index"": 0, ""scaled_relative_error"": 0.20693694603453422, ""success_probability"": 0.023607695094251306}, {""conditional_fidelity"": 0.9911016241927512, ""index"": 1, ""scaled_relative_error"": 0.09722536774273265, ""success_probability"": 0.04339747732125514}, {""conditional_fidelity"": 0.9911016241927514, ""index"": 2, ""scaled_relative_error"": 0.09722536774273285, ""success_probability"": 0.04339747732125517}, {""conditional_fidelity"": 0.9637009942911073, ""index"": 3, ""scaled_relative_error"": 0.2069369460345345, ""success_probability"": 0.023607695094251317}]",6,False,code_hbar1
dirichlet,1.0,0.4,0.7,24,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,0.7530856450224338,0.7764708674199423,0.7665057001144614,0.6213717622712975,0.0012449983827654781,0.002451647511371089,10.61860178968312,0.0,6.7839875410706565,-4.852173115651964e-15,0.6032447865279974,"[{""conditional_fidelity"": 0.6658349171810178, ""index"": 0, ""scaled_relative_error"": 0.7255284619396083, ""success_probability"": 0.0012449983827654781}, {""conditional_fidelity"": 0.6213717622712975, ""index"": 1, ""scaled_relative_error"": 0.7665057001144614, ""success_probability"": 0.002451647511371088}, {""conditional_fidelity"": 0.6213717622712981, ""index"": 2, ""scaled_relative_error"": 0.7665057001144608, ""success_probability"": 0.002451647511371089}, {""conditional_fidelity"": 0.6658349171810178, ""index"": 3, ""scaled_relative_error"": 0.7255284619396085, ""success_probability"": 0.0012449983827654781}]",7,False,code_hbar1
dirichlet,1.0,0.4,0.7,32,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,18.761963358766778,20.10511904762581,19.549940468187582,0.00017056213722948832,0.004774733076897591,0.012489887062869253,73.80735232099978,0.0,0.06620014660944623,-6.043730272284314e-16,0.9998585443833801,"[{""conditional_fidelity"": 0.0006512848482785982, ""index"": 0, ""scaled_relative_error"": 17.078993668675757, ""success_probability"": 0.004774733076897591}, {""conditional_fidelity"": 0.00017056213722948832, ""index"": 1, ""scaled_relative_error"": 19.549940468187582, ""success_probability"": 0.012489887062869253}, {""conditional_fidelity"": 0.00017056213722950244, ""index"": 2, ""scaled_relative_error"": 19.549940468187575, ""success_probability"": 0.012489887062869237}, {""conditional_fidelity"": 0.0006512848482785876, ""index"": 3, ""scaled_relative_error"": 17.078993668675764, ""success_probability"": 0.004774733076897593}]",8,False,code_hbar1
dirichlet,1.0,0.5,0.3,16,64,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,2.2397424621433704,2.3935984671302672,3.294776416336733,0.028581665043726084,0.007252867122210028,0.012606887003952131,8.812933872022217,0.0,1.3376354188301223,5.836249116793557e-16,0.9312035743814546,"[{""conditional_fidelity"": 0.028581665043726123, ""index"": 0, ""scaled_relative_error"": 3.294776416336729, ""success_probability"": 0.012606887003952115}, {""conditional_fidelity"": 0.3377310921136695, ""index"": 1, ""scaled_relative_error"": 1.447086425557412, ""success_probability"": 0.007252867122210028}, {""conditional_fidelity"": 0.33773109211366986, ""index"": 2, ""scaled_relative_error"": 1.447086425557412, ""success_probability"": 0.0072528671222100325}, {""conditional_fidelity"": 0.028581665043726084, ""index"": 3, ""scaled_relative_error"": 3.294776416336733, ""success_probability"": 0.012606887003952131}]",9,False,code_hbar1
