boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
neumann,7.8,4.0,0.3,48,100,injection,0,True,,0.996667690097282,0.9999882003336965,0.06337193822424622,0.057822584849314074,0.0034350845022576835,1.0,0.3898203650313374,1802,2504,direct_injection,,,,1.0,0.9964883702151685,,,3,1000,pde,0.25131805205147345,0.996667690097282,0.9983324546949688,1.0,0.9999882003336965,0.996667690097282,oat_r_target
neumann,7.9,4.0,0.3,48,100,injection,0,True,,0.9997155021219948,0.9999844862585844,0.05616263616415254,0.0168694647242059,0.003938779264716245,1.0,0.38981992771566837,1802,2504,direct_injection,,,,1.0000000000000004,0.999568667245973,,,3,1000,pde,0.23695286031896862,0.9997155021219948,0.9998577409421776,1.0,0.9999844862585844,0.9997155021219948,oat_r_target
neumann,8.0,4.0,0.3,48,100,injection,0,True,,0.9956245349138182,0.999980588438764,0.04997349975765098,0.06629248762850476,0.004405898098236808,1.0,0.3898195699095847,1802,2504,direct_injection,,,,1.0,0.9955886341530945,,,3,1000,pde,0.22305793519672656,0.9956245349138182,0.9978098691202739,1.0,0.999980588438764,0.9956245349138182,oat_r_target
neumann,8.1,4.0,0.3,48,100,injection,0,True,,0.9797793163854973,0.9999770156526248,0.04484825187719948,0.14365931241438534,0.004794254443340442,1.0,0.3898192771215915,1802,2504,direct_injection,,,,0.9999999999999998,0.9799389872317934,,,3,1000,pde,0.20962201593660695,0.9797793163854973,0.9898380253281328,1.0,0.9999770156526248,0.9797793163854973,oat_r_target
neumann,8.16,4.0,0.3,48,100,injection,0,True,,0.9630154565724866,0.9999752856217335,0.042283495746577825,0.19597176407465028,0.00497141721063884,1.0,0.389819127637683,1802,2504,direct_injection,,,,1.0000000000000004,0.9633248899521737,,,3,1000,pde,0.20179112954208725,0.9630154565724866,0.9813335093496434,1.0,0.9999752856217335,0.9630154565724866,oat_r_target
neumann,8.2,4.0,0.3,48,100,injection,0,True,,0.9485476366860031,0.9999743877502799,0.04077997684384416,0.23290193171596257,0.0050609194544055745,1.0,0.3898190375132721,1802,2504,direct_injection,,,,0.9999999999999996,0.9489645493130136,,,3,1000,pde,0.1966767669536448,0.9485476366860031,0.9739341028457742,1.0,0.9999743877502799,0.9485476366860031,oat_r_target
neumann,8.3,4.0,0.3,48,100,injection,0,True,,0.9012964350351427,0.9999732702389628,0.03769773492360749,0.330927297546476,0.0051701523707202,1.0,0.3898188414096243,1802,2504,direct_injection,,,,1.0,0.901980217940075,,,3,1000,pde,0.18432806106381966,0.9012964350351427,0.9493663334220056,1.0,0.9999732702389628,0.9012964350351427,oat_r_target
neumann,8.4,4.0,0.3,48,100,injection,0,True,,0.8416379271488463,0.9999739553452935,0.035464089116480205,0.43377342325924373,0.005103462848753133,1.0,0.3898186809010856,1802,2504,direct_injection,,,,1.0000000000000009,0.8425370533417794,,,3,1000,pde,0.17276551291336,0.8416379271488463,0.9174082663399357,1.0,0.9999739553452935,0.8416379271488463,oat_r_target
