beta,eta_err,fidelity,map_err_best_scale,map_scale_imag,map_scale_real,objective,post_prob,r_prime,r_target,status,vec_err_best_scale,vec_scale_imag,vec_scale_real
0.7,0.3526788548439854,0.9733943902258172,0.19186347108891577,0.0,0.25880449333250233,0.21258840839385937,0.012985444150694553,2.0,6.0,ok,0.16532639236069238,0.0,0.2662937588967338
0.825,0.5021225283231148,0.9126350173954714,0.4081128033549511,0.0,0.19685803030639973,0.4678245252817824,0.008636894463875758,2.0,6.0,ok,0.3093998744740804,0.0,0.21028850564572307
0.7,0.6699875880882049,0.6674915309634137,0.7490569865261935,0.0,-0.8344269145341027,1.0469487515276354,0.16023950475946383,2.0,10.0,ok,0.7057948348127095,0.0,-0.7746327266477835
0.825,0.6415694216890935,0.6303894202886241,0.8232560130273219,0.0,-0.6696013820394304,1.1458245655882635,0.10920404029894819,2.0,10.0,ok,0.7657160300890338,0.0,-0.6214582752223534
0.95,0.6620698359930044,0.5777052273704147,0.9559705246995457,0.0,-0.5073856951032792,1.3040775371277213,0.07202790784306885,2.0,10.0,ok,0.8549775361464691,0.0,-0.48316082362637436
0.95,0.6581450291091875,0.6352146342346421,1.1973847103639146,0.0,0.13896164833756372,1.3247383504777888,0.007858431505875507,2.0,6.0,ok,0.7578067270075637,0.0,0.1673463898244395
0.7,2.6469178663764867,0.4339723369125217,1.1425773554397403,0.0,-1.1401628545253366,1.6916471263372703,0.36452540079357626,6.0,10.0,ok,1.1420570654630264,0.0,-0.942069808272212
0.95,2.521526908126313,0.34082861624973304,1.34885933493629,0.0,-0.9375722968713239,2.0480808470351746,0.2818070466181388,6.0,10.0,ok,1.3906926103795159,0.0,-0.7340609375888305
0.825,3.205932717750228,0.08582037456224308,49.88393796046375,0.0,0.01151752831637088,28.201455626400126,0.032915061309556765,6.0,10.0,ok,3.2637776648963626,0.0,0.12588694699735997
