parameter,max_abs_delta_fidelity,mean_abs_delta_fidelity,min_fidelity,max_fidelity
beta,0.939280459672006,0.2246276587635394,0.060159426243219676,0.9994398859152257
n_quad,0.9187798672734915,0.25003225408649526,0.08066001864173418,0.9994398859152257
r_prime,0.8822372896934112,0.3967589013415901,0.11720259622181445,0.9994398859152257
r_target,0.5194234186507017,0.12745624458101026,0.48001646726452396,0.9994398859152257
n_coeff,0.25685910034523596,0.08288514320571429,0.7425807855699897,0.9994398859152257
n_fock,0.03148329410825834,0.0110699265113543,0.9679565918069674,0.9994398859152257
total_time,0.020575139252626218,0.006675726620439766,0.9788647466625995,0.9994398859152257
position_scale,0.016300791639379475,0.005668431982228407,0.9831390942758462,0.9994398859152257
