time,post_prob,scale_real,scale_imag,rel_error_best_scale,rel_error_eta_calibrated,shape_fidelity
0.0,0.21825196495455282,-0.46717444809680336,-6.35703378975479e-19,0.0,1.1102230246251565e-16,0.9999999999999998
0.0125,0.21784340449549341,-0.478334404288684,-8.198858288487579e-19,0.016933804734779484,0.029517172813894144,0.9997133284613411
0.025,0.21713635057499442,-0.4889891659851333,-1.0025650742322196e-18,0.03320450776627504,0.05820939746047345,0.9988986749182239
0.037500000000000006,0.2161179717005785,-0.4990941142893971,-1.1782493614823678e-18,0.04875817799228298,0.08591636360738239,0.9976282785144763
0.05,0.21477044537607803,-0.5086009432165906,-1.341908654192134e-18,0.06351982374342832,0.11245104196527382,0.9959814459250252
0.0625,0.2130733348708851,-0.5174600994958151,-1.489253469361217e-18,0.07739753761906346,0.13760549292448343,0.9940452921264872
0.07500000000000001,0.21100650628304207,-0.5256237927266242,-1.6169578632700704e-18,0.09028772811487831,0.1611595665850404,0.9919140418625322
0.08750000000000001,0.2085533312243027,-0.5330493253959246,-1.7228107628244764e-18,0.10208123781583649,0.1828920472385887,0.989686889470174
0.1,0.20570387471250712,-0.5397024586874771,-1.805785975835258e-18,0.11267011385276873,0.2025935568060264,0.9874645770548585
0.1125,0.2024577456789808,-0.5455605223662149,-1.866028086933126e-18,0.12195476952379633,0.22008033246715406,0.9853449975409116
0.125,0.19882629741428753,-0.5506149957787287,-1.904758408432926e-18,0.12985124808698675,0.23520785228082394,0.9834182441041416
0.1375,0.19483391259799676,-0.5548733300961709,-1.9241115676438198e-18,0.13629826328275618,0.2478832132272187,0.9817616020939658
0.15000000000000002,0.19051819201706524,-0.5583598449593062,-1.926918604780992e-18,0.14126364254759072,0.2580751776608174,0.9804350108063895
0.1625,0.18592898051152412,-0.5611156095031633,-1.9164561850145264e-18,0.14474974083499803,0.26582090000070313,0.9794775097480941
0.17500000000000002,0.18112629431452215,-0.563197301061377,-1.8961834151305346e-18,0.14679733608137327,0.27122852440638856,0.9789051252346647
