case,beta_opt,h1,K,Q,M_DV,m_c,c_l1,one_minus_F_DV,L_norm
heat_m32_dirichlet,0.6,0.0921785561124498,4.055856468947791,4,352,9,0.9349588193342521,0.005004886740549885,3.9909438451461696
advdiff_m32,0.6,0.0921785561124498,4.055856468947791,4,352,9,0.9349588193342521,0.004098203224464747,3.9909438451461696
