case,grid_points,branches,lsb_pos,beta,c_l1_complex,c_l1_positive_real,one_minus_F_complex_kernel,one_minus_F_positive_real
heat_m4_dirichlet,4,512,-3,0.6,1.1664301786405504,1.0656788900616272,4.370091466476822e-08,0.0086376041438333
heat_m8_dirichlet,8,512,-3,0.6,1.1664301786405504,1.0656788900616272,4.5573019025191286e-07,0.016144833243827317
heat_m16_dirichlet,16,512,-3,0.6,1.1664301786405504,1.0656788900616272,7.194373312646718e-07,0.02039523375386665
heat_m32_dirichlet,32,512,-3,0.6,1.1664301786405504,1.0656788900616272,6.919650927805776e-07,0.020343999670755286
