case,beta_opt,h1,K,Q,M_DV,m_c,c_l1,one_minus_F_DV,L_norm,validated_against_published
heat_m4_dirichlet,0.6,0.10167937678732318,4.067175071492927,4,320,9,0.9357133460840279,0.002334223915679612,3.6180339887498945,True
heat_m4_neumann,0.9,0.10774939365999787,2.585985447839949,4,192,8,1.2073344670491402,0.0022604026694137414,3.4142135623730954,True
heat_m4_periodic,0.8,0.09196986029286058,2.851065669078678,4,248,8,1.074010710134734,0.0002777025227592711,4.0,True
heat_m8_dirichlet,0.6,0.09482931399264387,4.077660501683686,4,344,9,0.9364092636386955,0.00578310667875892,3.879385241571816,
heat_m16_dirichlet,0.6,0.09275956421952589,4.081420825659139,4,352,9,0.9366581207367278,0.004939130708404904,3.9659461993678033,
advdiff_m8,0.6,0.09482931399264387,4.077660501683686,4,344,9,0.9364092636386955,0.003158874103778131,3.8793852415718164,
advdiff_m16,0.6,0.09275956421952587,4.081420825659138,4,352,9,0.9366581207367278,0.004035804169835289,3.965946199367804,
heat_2d_4x4,0.6,0.050839688393661576,4.016335383099265,4,632,10,0.9322969756455747,0.009076661853908763,7.236067977499792,
