r_target,r_prime,fidelity,purity,post_prob
1.2,0.3,0.5811716950378781,0.4537070527101074,0.1442940640416237
1.2,0.6,0.4672246894359891,0.357188503101473,0.09042278724711403
1.2,0.9,0.24702639985637503,0.34229012175412993,0.03738537659590727
1.6,0.3,0.5612044788428827,0.4322705110842024,0.11539073421430483
1.6,0.6,0.4570178029759826,0.34247349276425226,0.08608846088834225
1.6,0.9,0.3208897765797013,0.27938053583705913,0.04799950242429337
1.6,1.2,0.1523617176847424,0.34839244235383016,0.020668128766858612
1.6,1.5,0.2337066999979146,0.3472698305821942,0.019501801526039527
2.0,0.3,0.5481688778779268,0.41948888273218543,0.08544145595648873
2.0,0.6,0.4440119861499959,0.34178497236820365,0.07208585475200405
2.0,0.9,0.35442521888152456,0.29897975905038365,0.05052366560878857
2.0,1.2,0.2806853077887027,0.2696752000863271,0.02826674344540595
2.0,1.5,0.2143295567974816,0.2918711862708575,0.02091814768209119
2.4,0.3,0.5256407891149246,0.4028442628254778,0.062413438267442556
2.4,0.6,0.4307371773223042,0.3359613316466328,0.0562485582731065
2.4,0.9,0.3898150898883125,0.30980660932140136,0.04766857502057108
2.4,1.2,0.41398384060562754,0.32066893298861576,0.03528791254781201
2.4,1.5,0.28968656415846733,0.3303744338041844,0.02346516195746953
2.8,0.3,0.4539421816452286,0.39025877005826026,0.05238256653935777
2.8,0.6,0.40233263972696587,0.3204496345258818,0.045552244147804885
2.8,0.9,0.40618869672773805,0.3203198874270998,0.04234562791773425
2.8,1.2,0.4874522344150981,0.4154865891511045,0.03855254549404965
2.8,1.5,0.4023257475283872,0.4000469895129102,0.025605875901361895
