boundary_condition,label,r_target,r_prime,beta,n_coeff,n_trotter_steps,fidelity_exact,fidelity_truncated,postselection_probability,rel_error_vs_exact,coeff_backend_gap
neumann,Neumann,8.0,4.35,0.3,24,100,0.9959230745818108,0.9999849402507709,0.055191995312303406,0.06398136275775196,0.273532957218619
dirichlet,Dirichlet,8.0,4.19,0.675,48,100,0.9948670263481206,0.9999948446419347,0.07351326677798845,0.07182936035329396,8.600313758882503
periodic,Periodic,8.3,4.19,0.675,48,100,0.9942836823485832,1.0,0.048721394160628456,0.07582335920299406,8.600315048254897
