boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
dirichlet,8.0,4.19,0.675,48,100,snap_d,2,True,,0.6400378432616344,0.9998872551510991,0.015755332332104202,0.7499384072624085,0.010618736353022937,0.3845093738895117,8.600313758882503,1599,2301,snap_d_layers,,,,0.6341485766247623,0.9949943473873508,48,373,3,200,prep_pde,0.1004191661273398,0.6400378432616344,0.4960852249141517,0.3845093738895117,0.9998872551510991,0.4960852249141517,grid
dirichlet,8.0,4.19,0.675,48,100,snap_d,4,True,,0.47511364725461597,0.9999871057919778,0.04446391230869143,1.0510754390795838,0.0035908737496015966,0.696536224384273,8.600313758882503,1697,2399,snap_d_layers,,,,0.4194068239693179,0.9949943473873508,48,198,3,200,prep_pde,0.14534583429941086,0.47511364725461597,0.5752685164444266,0.696536224384273,0.9999871057919778,0.5752685164444266,grid
dirichlet,8.0,4.19,0.675,48,100,snap_d,6,True,,0.39059533505693933,0.9999879540202968,0.04637989882595731,1.2490774303204994,0.0034707527729220464,0.6758139599164982,8.600313758882503,1795,2497,snap_d_layers,,,,0.3369670372604217,0.9949943473873508,48,134,3,200,prep_pde,0.13459484433599878,0.39059533505693933,0.5137798946141641,0.6758139599164982,0.9999879540202968,0.5137798946141641,grid
dirichlet,8.0,4.19,0.675,48,100,snap_d,8,True,,0.5383748684495969,0.9999807915426554,0.0451095370779898,0.9259815486105845,0.0043827875053399955,0.6325377414904928,8.600313758882503,1893,2595,snap_d_layers,,,,0.4787586317021859,0.9949943473873508,48,95,3,200,prep_pde,0.1558391513394018,0.5383748684495969,0.5835601283195667,0.6325377414904928,0.9999807915426554,0.5835601283195667,grid
