boundary_condition,label,r_target,r_prime,beta,n_coeff,n_trotter_steps,fidelity_exact,fidelity_truncated,postselection_probability,rel_error_vs_exact,coeff_backend_gap
periodic,Periodic,8.1,4.1,0.3,48,100,0.9997249405374592,0.9999999999999998,0.04842141501316723,0.016587198107726603,0.3926758456173016
neumann,Neumann,7.9,4.0,0.3,48,100,0.9997155021219948,0.9999844862585844,0.05616263616415254,0.0168694647242059,0.38981992771566837
dirichlet,Dirichlet,7.9,4.1,0.5,48,100,0.9989610514553566,0.9999920899517579,0.06278915139876678,0.03224948187714165,0.20388249847989928
