beta,eta_err,fidelity,map_err_best_scale,map_scale_imag,map_scale_real,objective,post_prob,r_prime,r_target,reason,status,vec_err_best_scale,vec_scale_imag,vec_scale_real
0.75,0.6714893216550666,0.5841935417487109,0.8920473982393755,0.0,0.7600443370065089,1.2604735962738183,0.13434910372646172,2.0,3.0,,ok,0.8436595742415661,0.0,0.6635656963740147
0.7646666666666667,0.6724605339493279,0.578242310148707,0.902650343515267,0.0,0.7396729336117583,1.2764498312687778,0.1279290594403931,2.0,3.0,,ok,0.8540367750185797,0.0,0.6442103538328837
0.7793333333333333,0.6736525543461733,0.5724055899518777,0.9132285107951027,0.0,0.7192140014917955,1.292293106938001,0.12161971369779839,2.0,3.0,,ok,0.8642991310380436,0.0,0.6249454143254932
0.794,0.6750194888230014,0.5667390613826446,0.9237089446000991,0.0,0.6987578785530091,1.307863252038714,0.11545019629541566,2.0,3.0,,ok,0.8743457328077966,0.0,0.6058666889512176
0.8086666666666666,0.6765100771430499,0.5613017238794892,0.9340128340013784,0.0,0.6783942338024836,1.3230075087128572,0.10944713445324802,2.0,3.0,,ok,0.8840661779061425,0.0,0.5870681911803012
0.8233333333333334,0.6780708267670226,0.5561524513892693,0.9440600810168432,0.0,0.6582093676384496,1.3375690097613553,0.10363415820600716,2.0,3.0,,ok,0.8933465918223971,0.0,0.5686388844419115
0.838,0.67965000662952,0.5513453683502682,0.9537753716838098,0.0,0.638283317706391,1.3513986690694142,0.09803149528440362,2.0,3.0,,ok,0.9020782516450229,0.0,0.5506591283378062
0.8526666666666667,0.6812022261724134,0.5469242618382394,0.9630952392197715,0.0,0.6186869590824398,1.3643699227312571,0.09265565676964128,2.0,3.0,,ok,0.9101685162132833,0.0,0.5331970380772846
0.8673333333333333,0.6826930983068548,0.5429165789427142,0.9719750357336701,0.0,0.5994793359868986,1.3763947378982073,0.08751919396556747,2.0,3.0,,ok,0.9175530489785082,0.0,0.5163050473618855
0.882,0.6841032326847684,0.5393279754822136,0.9803940828009708,0.0,0.5807054870129186,1.3874380513391202,0.08263048518487845,2.0,3.0,,ok,0.9242074087127454,0.0,0.5000170225242572
0.8966666666666666,0.6854305745655047,0.5361388151350042,0.9883567306678445,0.0,0.5623950122301294,1.3975265669030212,0.07799349578810269,2.0,3.0,,ok,0.9301551423258492,0.0,0.4843462956465782
0.9113333333333333,0.6866899722650415,0.5333043343657804,0.9958869023823298,0.0,0.5445615693760284,1.4067470768395856,0.07360745625162192,2.0,3.0,,ok,0.9354688423667097,0.0,0.46928494894724093
0.9259999999999999,0.6879089298928098,0.5307601868882514,1.0030142656603942,0.0,0.527203382228824,1.415229765220109,0.06946643341932784,2.0,3.0,,ok,0.9402606417343242,0.0,0.4548045849001725
0.9406666666666667,0.6891189102436281,0.5284345150921916,1.0097517286158897,0.0,0.5103047213570054,1.423113901169166,0.06555884083028655,2.0,3.0,,ok,0.9446597626158307,0.0,0.4408586691238785
0.9553333333333334,0.6903424439214136,0.526266317724446,1.016066570219579,0.0,0.4938382141679542,1.4304973982359857,0.06186705311843893,2.0,3.0,,ok,0.9487774290124186,0.0,0.42738636895883214
0.97,0.6915778881470559,0.5242274605973984,1.021851123852215,0.0,0.4777677774737613,1.4373782951321532,0.05836745895231565,2.0,3.0,,ok,0.9526641062359156,0.0,0.41431765587653346
0.75,0.6656208856472546,0.5823447783938639,0.8972101655488888,0.0,0.7011095563857673,1.2663619708254343,0.11575496835750274,2.0842105263157893,3.0,,ok,0.8468741269706832,0.0,0.6149617123054227
0.7646666666666667,0.6665161708193587,0.577688967433937,0.906056084056266,0.0,0.6823074505051719,1.2791496220392093,0.11018347025985613,2.0842105263157893,3.0,,ok,0.8550060283827731,0.0,0.597576381527087
0.7793333333333333,0.66752053841107,0.573265575429395,0.9146763049809575,0.0,0.6636111551827846,1.2914565395837279,0.1047657211604598,2.0842105263157893,3.0,,ok,0.8627816658647188,0.0,0.5804645465597089
0.794,0.6685978893134498,0.5691095737605103,0.9230173313277482,0.0,0.6450980836935951,1.3031858602959483,0.09952319665268788,2.0842105263157893,3.0,,ok,0.8701326733200997,0.0,0.5637003031937652
0.8086666666666666,0.6697155069365957,0.5652483957175362,0.931032809588493,0.0,0.6268382084976162,1.3142566789819947,0.09447365879121922,2.0842105263157893,3.0,,ok,0.8770026939736251,0.0,0.5473475783057862
0.8233333333333334,0.6708471949351569,0.5616982260600967,0.9386875534236335,0.0,0.6088914261124446,1.3246134920600048,0.08963072186568476,2.0842105263157893,3.0,,ok,0.8833546266511929,0.0,0.531457007004187
0.838,0.6719760895926955,0.5584606846043966,0.9459606008355685,0.0,0.5913052150058119,1.3342346087916401,0.08500349921975785,2.0842105263157893,3.0,,ok,0.8891773426040757,0.0,0.5160631731033277
0.8526666666666667,0.673096593979219,0.555520645357008,0.9528462982509148,0.0,0.5741128063712769,1.343137539473371,0.08059633458095493,2.0842105263157893,3.0,,ok,0.894490422615764,0.0,0.50118251547686
0.8673333333333333,0.6742148557236985,0.5528460012383805,0.9593525243498743,0.0,0.5573320521802417,1.3513792698459448,0.07640862348089099,2.0842105263157893,3.0,,ok,0.8993453077329266,0.0,0.4868121830403412
0.882,0.6753473388709353,0.550390027928096,0.9654957171883167,0.0,0.5409650883810571,1.3590499011664972,0.07243474094359575,2.0842105263157893,3.0,,ok,0.9038215439687435,0.0,0.47293003707947934
0.8966666666666666,0.6765173966423589,0.548096505814262,0.9712934560194121,0.0,0.5249987502630291,1.36625964176885,0.06866411143106899,2.0842105263157893,3.0,,ok,0.908017739049857,0.0,0.4594958390700334
0.9113333333333333,0.6777503858986476,0.5459068630576582,0.9767569331839866,0.0,0.5094055071646001,1.3731216660818173,0.06508148158754276,2.0842105263157893,3.0,,ok,0.9120385426427069,0.0,0.4464534227520942
0.9259999999999999,0.6790687483883485,0.54376737091652,0.9818874540184116,0.0,0.494144455081416,1.3797366407169582,0.06166747101831096,2.0842105263157893,3.0,,ok,0.9159812822535784,0.0,0.433733338761308
0.9406666666666667,0.6804894102127585,0.5416331692271724,0.9866825232524117,0.0,0.4791616463430423,1.3861878731959978,0.05839944877816671,2.0842105263157893,3.0,,ok,0.9199282700311507,0.0,0.42125509275442957
0.9553333333333334,0.6820262216432363,0.5394653961092775,0.9911570031246876,0.0,0.46438875869465823,1.3925570786368695,0.0552526542778716,2.0842105263157893,3.0,,ok,0.9239518468799895,0.0,0.4089277031618125
0.97,0.6836986116123268,0.5372195396992051,0.9953810858301853,0.0,0.4497389011726488,1.3989655413426463,0.05220116746010753,2.0842105263157893,3.0,,ok,0.9281359754125139,0.0,0.39664699858390956
0.75,0.6631237774016613,0.5855808016052811,0.8950159417544529,0.0,0.6645077578012589,1.2594817221218553,0.10474693809138616,2.168421052631579,3.0,,ok,0.841252791324893,0.0,0.586613762162019
0.7646666666666667,0.663666871158818,0.5821078401983293,0.9019004188275115,0.0,0.6473745899172995,1.2691315135789605,0.09989494651307936,2.168421052631579,3.0,,ok,0.8472866961751212,0.0,0.5711650803252304
0.7793333333333333,0.664267994036282,0.5789054491902847,0.9084279579945449,0.0,0.6304747879827586,1.2781448998631877,0.09521098832034888,2.168421052631579,3.0,,ok,0.8528761933254294,0.0,0.5560777517046813
0.794,0.6649096448428364,0.5759803341285729,0.914569197843981,0.0,0.6138591822697397,1.2864893046316688,0.09070588259057873,2.168421052631579,3.0,,ok,0.8580037224161069,0.0,0.54138936292684
0.8086666666666666,0.6655802638427626,0.5733291030703723,0.920303312560375,0.0,0.597565868557868,1.2941548458047232,0.08638564032169699,2.168421052631579,3.0,,ok,0.8626696446780542,0.0,0.5271217500867673
0.8233333333333334,0.6662746594283692,0.5709380629537398,0.9256176960645479,0.0,0.5816187016941142,1.3011549444929054,0.08225127451910351,2.168421052631579,3.0,,ok,0.8668929996083186,0.0,0.5132795729334189
0.838,0.6669932066778547,0.5687845367497799,0.9305060755822019,0.0,0.5660265025733909,1.3075232902462985,0.07829878745733085,2.168421052631579,3.0,,ok,0.8707094792926865,0.0,0.4998498578401805
0.8526666666666667,0.6677396373885254,0.5668398875035163,0.9349652742055825,0.0,0.5507830678891021,1.3133068770039054,0.07451936327039492,2.168421052631579,3.0,,ok,0.8741662342762897,0.0,0.48680264970151543
0.8673333333333333,0.6685175169737251,0.5650740801263048,0.9389913812729727,0.0,0.5358679701878518,1.3185557688237708,0.07089979182029091,2.168421052631579,3.0,,ok,0.8773137821935998,0.0,0.4740927756986311
0.882,0.6693258459047433,0.5634611879738953,0.9425765178595035,0.0,0.5212480363833344,1.3233112749830582,0.06742314202245868,2.168421052631579,3.0,,ok,0.8801960754520013,0.0,0.46166256605677025
0.8966666666666666,0.6701544860120182,0.5619849535793955,0.9457073059306853,0.0,0.5068793530878632,1.3275947479607444,0.06406968559093937,2.168421052631579,3.0,,ok,0.8828403426743716,0.0,0.4494452600108868
