beta,eta_err,fidelity,map_err_best_scale,map_scale_imag,map_scale_real,objective,post_prob,r_prime,r_target,status,vec_err_best_scale,vec_scale_imag,vec_scale_real
0.8899999999999999,0.37809662737961025,0.9998071378822629,0.014600029712763193,0.0,-0.5474711949499597,-0.02880152204794746,0.05329864975041647,4.0,8.1,ok,0.013888819989784092,0.0,-0.546769630210645
0.8999999999999999,0.36878154423722137,0.9997316502722552,0.018490293738784885,0.0,-0.5257483782406779,-0.024357853659465214,0.04933138243321673,3.95,8.05,ok,0.01638358198475511,0.0,-0.5260070051643039
0.8999999999999999,0.34499024708223974,0.9997115119023003,0.02572234345586222,0.0,-0.5711594576408529,-0.020137015983856185,0.058701431808479934,4.0,8.0,ok,0.01698738788332772,0.0,-0.5737858816219287
0.8899999999999999,0.36905156759833496,0.9996676504048286,0.027926518912865315,0.0,-0.5953263621339433,-0.01778663496779715,0.06299821024355262,4.050000000000001,8.05,ok,0.01823348809601162,0.0,-0.5944017633244454
0.95,0.3982536145325015,0.9994937159583202,0.025872598470250488,0.0,-0.6065078342466036,-0.014531932043049277,0.0650668764882955,4.2,8.05,ok,0.022506454519741488,0.0,-0.6040295391941078
0.9199999999999999,0.4066578759117319,0.9995180254222241,0.030216852970474186,0.0,-0.46443523993966596,-0.012908262839949745,0.03837971576657265,3.85,8.05,ok,0.021959211945924366,0.0,-0.463910664744006
0.9099999999999999,0.37714947210924016,0.9995006186388404,0.03259955708914343,0.0,-0.493073672824303,-0.011322828189933229,0.0435121826030573,3.9000000000000004,8.05,ok,0.02235242419743708,0.0,-0.49395243647696513
0.94,0.4558937362650883,0.9994595948506029,0.03371318061930954,0.0,-0.6220821207885012,-0.009863489720655802,0.0680171353430487,4.2,8.15,ok,0.023252899712219575,0.0,-0.6175611303225852
0.88,0.3988151668677827,0.9992561382740015,0.03436603639659988,0.0,-0.571084926175498,-0.0054958104832324925,0.05741760493100551,4.050000000000001,8.15,ok,0.027283978232167643,0.0,-0.5673474574311553
0.95,0.38180208651401226,0.9993086274098582,0.03924259750784104,0.0,-0.6158133688911003,-0.004041073537777752,0.06664797727520728,4.2,8.0,ok,0.02630305907879464,0.0,-0.6112677301841001
0.8899999999999999,0.377908230490587,0.9991114117530987,0.034752987817992756,0.0,-0.5616409808263431,-0.0027566264403292295,0.05589958358224548,4.0,8.05,ok,0.02982245023832933,0.0,-0.5597568413535268
0.95,0.42652296890365676,0.9989956789791168,0.032728518542401365,0.0,-0.4149126530910761,-0.0018785744044465813,0.030853304288397818,3.75,7.95,ok,0.031706950273308575,0.0,-0.4158347797762561
0.8999999999999999,0.3533449080316261,0.9992189020933443,0.042222840903654406,0.0,-0.6091978735242811,-0.0008904742840077154,0.06629396717686298,4.050000000000001,8.0,ok,0.027959050368832297,0.0,-0.609614781753641
0.8899999999999999,0.39261967611397747,0.9990756380583219,0.03843622877178605,0.0,-0.6193054979750963,-0.0003182847034928285,0.06780949646923921,4.1000000000000005,8.1,ok,0.030417382813530243,0.0,-0.6164993292551163
0.94,0.4739186366484836,0.998926737328956,0.036526273512488376,0.0,-0.6128409689648722,0.001095082355740594,0.06632240308949588,4.2,8.2,ok,0.03277828246594421,0.0,-0.6096563615766077
0.9099999999999999,0.3294875345649949,0.9990461227812132,0.04122522085933203,0.0,-0.54753624443453,0.0015599478044034665,0.05437824016820266,3.95,7.95,ok,0.030899643513798113,0.0,-0.5520691863664919
0.88,0.4083045050296008,0.998956111230737,0.039208457416738986,0.0,-0.6068940701163368,0.00198256754643307,0.0648505882093686,4.1000000000000005,8.15,ok,0.03232614439960043,0.0,-0.6028625802551779
0.9299999999999999,0.5055735266819333,0.9990425647597437,0.04350786712411801,0.0,-0.6253296004450226,0.002759079122019281,0.06846613384962673,4.2,8.25,ok,0.030957273797947465,0.0,-0.6194668385098986
0.8899999999999999,0.374319153071302,0.998638977216223,0.035483395658008586,0.0,-0.5808082885381293,0.004726922361704869,0.06026029353935858,4.050000000000001,8.1,ok,0.03691717339351173,0.0,-0.5810426902488258
0.95,0.4382310291200639,0.9988522462665512,0.04309515515102764,0.0,-0.4058037219055329,0.005502938443474999,0.02975010640301591,3.75,8.0,ok,0.03389797318128874,0.0,-0.4083034514972373
