r_target,r_prime,beta,fidelity,map_error,post_prob,eta_error,objective
0.001,0.0005,0.99,0.9905469804748732,0.1392069274064388,0.2292672721363619,0.3581278431882041,0.5340263108633847
0.001,0.0005,0.9022222222222223,0.9862389466245483,0.16709758946094572,0.2814109390332814,0.4126000587890277,0.5401531733197568
0.001,0.0005,0.8144444444444445,0.9810995099305879,0.19491141115232993,0.31977194950291365,0.46704684567400623,0.5539259264702852
0.001,0.0005,0.7266666666666668,0.975160281800279,0.2225032898975408,0.3492514247595724,0.5218059787534054,0.5727172957174755
0.001,0.0005,0.638888888888889,0.9684571603527203,0.2497992318919443,0.3713974253630259,0.57722205403806,0.595643358857711
0.1437857142857143,0.0005,0.99,0.9637067238422388,0.26523099726239835,0.369055545671447,0.5213058221734553,0.616996500584436
0.001,0.0005,0.5511111111111111,0.9610287031177039,0.27676409049360445,0.38683436311375197,0.6336365825471958,0.6223182058190245
0.1437857142857143,0.1368181818181818,0.99,0.96982938236886,0.23675547019040807,0.2704784535425364,0.4472535726697428,0.6316868610502799
0.1437857142857143,0.0005,0.9022222222222223,0.955590448056164,0.29220800861534874,0.3964367548690385,0.5685687661310348,0.6383991831246655
0.1437857142857143,0.1368181818181818,0.9022222222222223,0.9613183944487884,0.26766729827703495,0.324660085886353,0.5078625566824876,0.6440188608850701
0.001,0.0005,0.4633333333333334,0.9529163593800843,0.3033809401085196,0.39584069338200406,0.6913840210459045,0.6525442340374332
0.1437857142857143,0.0005,0.8144444444444445,0.9468526011088976,0.3185574939390364,0.4203962599743611,0.615881558863589,0.6615067628429583
0.1437857142857143,0.1368181818181818,0.8144444444444445,0.9515913683245035,0.2989439159640565,0.36745508194037335,0.5693416123575887,0.6636250066693663
0.001,0.0005,0.3755555555555556,0.9441657982856215,0.32963758420224254,0.39852524353750174,0.7507891912602898,0.6862091641478701
0.1437857142857143,0.0005,0.7266666666666668,0.9375339112478912,0.3443555649829871,0.4411472445582728,0.6634978209467114,0.6862480314559595
0.1437857142857143,0.1368181818181818,0.7266666666666668,0.9407246979979077,0.33031209048339205,0.40153480592328916,0.6319209522517422,0.6888199895238398
0.2865714285714286,0.0005,0.99,0.9325795652176739,0.3540575368811924,0.41831725568627776,0.6361735921487988,0.7123193438203796
0.1437857142857143,0.0005,0.638888888888889,0.9276726660021054,0.36967022859294335,0.4588586635734718,0.7116468071788495,0.712568230804102
0.1437857142857143,0.1368181818181818,0.638888888888889,0.9287942448750957,0.3616262846011336,0.42796240326266816,0.6959158283550628,0.7188508380947038
0.001,0.0005,0.2877777777777778,0.9348288524644012,0.35551744572114935,0.3949920117632205,0.8121637239759819,0.7231925873751379
0.2865714285714286,0.1368181818181818,0.99,0.9297185229602816,0.35587473493652133,0.3952784636521596,0.6204163095421112,0.72851698015016
