boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_total_starts,snap_used_warm_start,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_oracle_only,score_truncated,score,source
dirichlet,7.9,4.1,0.5,48,100,snap_d,4,True,,0.2584695768224572,0.9999851025268403,0.05429011194996176,1.6937908053561825,0.0038597532431149774,0.6344957011983687,0.20388249847989928,1697,2399,snap_d_layers,,,,0.2839763180885581,0.9988420501866455,48,802,12,False,12,3000,oracle_only,0.11845818781895341,0.2584695768224572,0.40496646204890924,0.6344957011983687,0.6344957011983687,0.9999851025268403,0.6344957011983687,oat_snap_depth
dirichlet,7.9,4.1,0.5,48,100,snap_d,6,True,,0.9556388049781015,0.9999886382975983,0.05201046024336332,0.21545408373593794,0.0033707315959172765,0.9146454477175141,0.20388249847989928,1795,2497,snap_d_layers,,,,0.9644701795583891,0.9988420501866455,48,566,13,True,12,3000,oracle_only,0.22294217652415788,0.9556388049781015,0.934917473703121,0.9146454477175141,0.9146454477175141,0.9999886382975983,0.9146454477175141,oat_snap_depth
dirichlet,7.9,4.1,0.5,48,100,snap_d,8,True,,0.992941211863634,0.9999912238631166,0.06103701465186978,0.0843147012168367,0.002962467536408368,0.9781147603850971,0.20388249847989928,1893,2595,snap_d_layers,,,,0.9962548030894315,0.9988420501866455,48,421,13,True,12,3000,oracle_only,0.24618319864882324,0.992941211863634,0.9855001042711697,0.9781147603850971,0.9781147603850971,0.9999912238631166,0.9781147603850971,oat_snap_depth
dirichlet,7.9,4.1,0.5,48,100,snap_d,10,True,,0.997566078988679,0.999991476032644,0.06157382034737463,0.0493949333076646,0.0029195958649435613,0.9909576340726692,0.20388249847989928,1991,2693,snap_d_layers,,,,0.9994255499589403,0.9988420501866455,48,330,13,True,12,3000,oracle_only,0.24783856546607885,0.997566078988679,0.9942563660675102,0.9909576340726692,0.9909576340726692,0.999991476032644,0.9909576340726692,oat_snap_depth
dirichlet,7.9,4.1,0.5,48,100,snap_d,14,True,,0.9977521227222724,0.9999913499086532,0.061819188682847075,0.047465162108541493,0.0029411164838287988,0.9932921774512006,0.20388249847989928,2187,2889,snap_d_layers,,,,0.999597644817284,0.9988420501866455,48,226,13,True,12,3000,oracle_only,0.2483550416908812,0.9977521227222724,0.99551965251087,0.9932921774512006,0.9932921774512006,0.9999913499086532,0.9932921774512006,oat_snap_depth
dirichlet,7.9,4.1,0.5,48,100,snap_d,18,True,,0.9982611471868188,0.9999919325074029,0.06293638310946799,0.041735856155792055,0.0028403446413793423,0.9949900405372596,0.20388249847989928,2383,3085,snap_d_layers,,,,0.9998739761201003,0.9988420501866455,48,177,13,True,12,3000,oracle_only,0.2506530390851997,0.9982611471868188,0.9966242518151884,0.9949900405372596,0.9949900405372596,0.9999919325074029,0.9949900405372596,oat_snap_depth
dirichlet,7.9,4.1,0.5,48,100,snap_d,22,True,,0.9973933009037204,0.9999919571684507,0.061720367421607136,0.05112251690749735,0.0028360000417193307,0.9953784790951132,0.20388249847989928,2579,3281,snap_d_layers,,,,0.9995654505404883,0.9988420501866455,48,148,13,True,12,3000,oracle_only,0.24811183163168013,0.9973933009037204,0.9963853807203314,0.9953784790951132,0.9953784790951132,0.9999919571684507,0.9953784790951132,oat_snap_depth
dirichlet,7.9,4.1,0.5,48,100,snap_d,26,True,,0.9980282577928101,0.9999918164779811,0.062167817872587745,0.044448145690694205,0.0028606972907637834,0.9955936389572336,0.20388249847989928,2775,3477,snap_d_layers,,,,0.9998147707728243,0.9988420501866455,48,109,13,True,12,3000,oracle_only,0.24908881741691952,0.9980282577928101,0.9968102050832405,0.9955936389572336,0.9955936389572336,0.9999918164779811,0.9955936389572336,oat_snap_depth
dirichlet,7.9,4.1,0.5,48,100,snap_d,30,True,,0.9978295825555783,0.999991876481102,0.06196146458867324,0.04663837907512591,0.0028501903252308794,0.9957001614334658,0.20388249847989928,2971,3673,snap_d_layers,,,,0.9997404891702744,0.9988420501866455,48,89,13,True,12,3000,oracle_only,0.24865032142558768,0.9978295825555783,0.9967643033504345,0.9957001614334658,0.9957001614334658,0.999991876481102,0.9957001614334658,oat_snap_depth
