boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_total_starts,snap_used_warm_start,snap_restarts,snap_maxiter,snap_parameter_payload_json,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_oracle_only,score_truncated,score,source
neumann,7.9,4.0,0.3,48,100,snap_d,4,True,,0.9729332484293614,0.999983053381375,0.04763417674381115,0.16679251063951292,0.0041166619751692,0.7953441007637153,0.38981992771566837,1997,2699,snap_d_layers,,,,0.9743516778838868,0.999568667245973,48,596,9,False,9,3000,"{""format"":""snap_d_layers_v1"",""method"":""snap_d"",""apply_mode"":""snap_d_layers"",""snap_depth"":4,""snap_n_snap"":48,""snap_thetas_per_layer"":[[2.6130950530459174,1.7597712466100677,-1.855596787891928,-2.4176536942668196,1.409396625277666,-1.4965536421437025,2.9329754243809645,1.894740855386837,-0.6869667976397886,-1.1689205663539093,-1.6713541184390155,1.5480243086067746,-1.421807903003776,0.7176622493249041,1.5442707877640036,-1.3553765494733805,-0.49413803412330715,0.5683073671152786,0.1723370569051097,-2.8593361457560755,-0.6589789270550983,0.12709136034987906,-1.7766666521313887,-2.928013050863345,1.9124000770655682,0.13688020091789863,2.998587138442514,2.8027177458352273,-1.5200124022424923,1.801448868365686,-0.8112182069679502,1.84701830955855,2.5470325335822115,0.9768142384702286,0.8106805510274012,3.044057142028123,0.9214113596654026,0.37218504662594515,-2.6689647289196996,-0.897131722669111,1.147150621213579,-1.877145968338798,0.4671440460798481,-2.3184940895838335,1.986274618295364,-2.5102126035002503,0.0033189383136833068,2.552482963939519],[-2.260302611016612,-2.036679424612582,0.02155967117855513,-0.09484883095344304,-1.7152568121337957,-2.1996326573562626,0.7045982184049446,-1.7995863894782966,-1.9488472872152158,-0.34310180344871904,1.9484593592901056,2.472050498895158,0.3473294212415871,-2.3632265893909716,0.13867305084758047,-0.8208619575195782,1.8816057880890353,0.13203757283821183,-2.731521331107605,-2.473519467650884,0.34735844373815966,-2.1906477231787784,-2.2010629471446457,-2.557559655891612,-2.84399981619538,-2.2959354491765467,2.065156704024745,-0.5954379336139506,-1.6180027938705062,-2.5584825528201667,1.3763341781799867,-1.6090864659105784,-0.09511644130235342,-0.17690500720914648,2.057734522454601,-1.800560421452121,-2.593110184230809,-0.6458634449634696,-0.42365761880865077,-0.21627261244310997,0.5479652898039772,-2.336988109375287,2.390690621556399,2.903106984677049,-1.9077047611688704,-2.6890604813149532,-0.18858586298080832,1.0851519962613623],[2.6469729086039826,-3.189843311798981,-1.3235294363782213,1.0900892115030894,1.2869144224667184,0.8930108007519382,-1.76155853098397,-0.03931063211681298,-0.5287754082748555,-0.43062780340378,-1.5281187734848702,-1.646646309777467,-1.69526778636858,-1.5421960989822165,-2.9248624385068696,-2.979196794924939,-2.996847743766659,0.838525780802145,2.3894974384376977,2.3309099956499653,0.418747914577689,-0.8669404607188821,0.09397684690367193,1.3667740780856694,-1.9739681616363987,-3.0773667122802046,-0.23124612545814302,-0.33035079069334694,2.9802900242361554,-0.9906851802553067,1.2077370027249674,2.2646183922103043,2.1809465382028477,0.7134128659069293,-0.2036420341337665,1.5768331757041874,1.2146478035865518,2.013236961182085,0.9695182837842687,-1.65532072624392,1.6937238807364954,-2.840077930425228,-0.11821740111231392,-1.191033488959811,1.67550699024004,1.982426498770132,-3.02590261669748,-3.1406958273674457],[2.258459038447561,1.4038214219606113,0.9107140284399933,-2.3405807145488646,-0.9261658366932428,2.735560551991856,1.7268545287663382,-2.983912473406487,2.91601111754374,0.02513195935175175,0.19367488739147723,-2.4373431581112457,1.6442884574886918,0.5078352657533556,-2.7919804228550187,2.917853920316125,-0.13696181892481166,-0.39948821976182003,2.5684221630708697,2.5049239396159146,-1.4660769661950743,-0.3881063750795471,2.5595562998692793,2.33711941737921,2.357620923181682,-1.746790730655622,2.0227314722335583,0.20204816568523143,-2.2348254146116706,-2.993439217202494,-1.8324999020040798,1.804319083291483,-1.474667921313334,-2.5410587984401833,0.4676639660124985,0.07639791446420378,1.4580924685023382,2.210438357830179,-2.9853825219275616,-2.9617766047489202,-2.829318440681844,-0.4444578433155315,0.8409188443640179,-1.21764857388207,3.136371680235802,2.6513025050673797,2.712340154200084,2.1138774270482514]],""snap_alphas_per_layer"":[{""real"":1.1613711589174018,""imag"":-1.1333779200320753},{""real"":-0.8686613584503802,""imag"":-0.33606441602665377},{""real"":-0.9649225183176302,""imag"":-0.355383293681052},{""real"":0.45648917796151717,""imag"":2.041201675579687}]}",oracle_only,0.21527859697520912,0.9729332484293614,0.8796685282395699,0.7953441007637153,0.7953441007637153,0.999983053381375,0.7953441007637153,grid
neumann,7.9,4.0,0.3,48,100,snap_d,6,True,,0.9932077947314145,0.9999819492947946,0.04671242560670108,0.08269615961975034,0.004248650496271396,0.9597163315921449,0.38981992771566837,2095,2797,snap_d_layers,,,,0.9936614215757374,0.999568667245973,48,440,10,True,9,3000,"{""format"":""snap_d_layers_v1"",""method"":""snap_d"",""apply_mode"":""snap_d_layers"",""snap_depth"":6,""snap_n_snap"":48,""snap_thetas_per_layer"":[[2.613094589753065,1.7597712466100677,-1.855596787891928,-2.4176536942668196,1.409396625277666,-1.4965536421437025,2.9329754243809645,1.894740855386837,-0.6869667976397886,-1.1689205663539093,-1.6713541184390155,1.5480243086067746,-1.421807903003776,0.7176622493249041,1.5442707877640036,-1.3553765494733805,-0.49413803412330715,0.5683073671152786,0.1723370569051097,-2.8593361457560755,-0.6589789270550983,0.12709136034987906,-1.7766666521313887,-2.928013050863345,1.9124000770655682,0.13688020091789863,2.998587138442514,2.8027177458352273,-1.5200124022424923,1.801448868365686,-0.8112182069679502,1.84701830955855,2.5470325335822115,0.9768142384702286,0.8106805510274012,3.044057142028123,0.9214113596654026,0.37218504662594515,-2.6689647289196996,-0.897131722669111,1.147150621213579,-1.877145968338798,0.4671440460798481,-2.3184940895838335,1.986274618295364,-2.5102126035002503,0.0033189383136833068,2.552482963939519],[-2.1370082197228344,-2.27139695764864,0.1687225451712249,-0.06885360330585566,-1.817916479563738,-2.11944469390458,0.6973331440191658,-1.829263854953967,-2.0852133009519647,-0.17534520218564525,1.8899339487664062,2.50223202375121,0.3413240624404554,-2.3662630813111147,0.1429921988852357,-0.8218016630378586,1.881786996615088,0.13217177178612388,-2.7315097399881405,-2.4735929802393546,0.34738586756009326,-2.1906430906177046,-2.201055937748827,-2.557559514731496,-2.8439995502753272,-2.295935257548395,2.0651564491456855,-0.5954379939105441,-1.6180030361858742,-2.558482406195401,1.3763342399123368,-1.6090863274686957,-0.0951162761036391,-0.1769049442309736,2.057734619857398,-1.8005604053217281,-2.593110184230809,-0.6458634449634696,-0.42365761880865077,-0.21627261244310997,0.5479652898039772,-2.336988109375287,2.390690621556399,2.903106984677049,-1.9077047611688704,-2.6890604813149532,-0.18858586298080832,1.0851519962613623],[2.649821781638609,-3.1709720899992138,-1.3667943535915832,1.1420938259802127,1.2239414058107427,0.987005225988541,-1.754564820016955,-0.10471395269881997,-0.5565754945999032,-0.46947513162104615,-1.6022490718405777,-1.3714177026943444,-1.687356735447333,-1.7646211599103396,-2.9177176798332254,-2.9427546614727884,-2.965241478068313,0.8633091992193345,2.364278572030779,2.346231116566311,0.41284913665516887,-0.8787287287033118,0.09801652992452449,1.368241021753915,-1.9749245639952262,-3.0771760655064693,-0.23145126736543428,-0.33039035768460245,2.9803672070980394,-0.9906493066669191,1.2077293961475404,2.264611088348149,2.1809480994864505,0.7134122909488182,-0.2036416514958438,1.5768322838880526,1.2146480784477183,2.013236269144083,0.9695178074989825,-1.6553207894264268,1.6937235093216463,-2.8400778121721504,-0.11821742895104605,-1.1910334717475024,1.67550699024004,1.982426498770132,-3.02590261669748,-3.1406958273674457],[2.256210520791117,1.539533916323241,0.9204537862869805,-2.353811286480212,-0.9735371585117099,2.3988580697089916,1.9750439871748824,-2.9598061333721786,2.956923702575769,-0.11278323967924425,0.25438532568604594,-2.6892894573542563,1.8989932381049666,0.32968102895920687,-2.865624319641658,3.018519890096792,-0.09830065592303566,-0.20433193505888977,2.6049152073353,2.4963401821640163,-1.0563690183763657,-0.7886948972156315,2.498344181396671,2.2615480960976004,2.3748119815047843,-1.728986423255727,2.016432875388732,0.19455123799856294,-2.225554944064519,-2.992465880449388,-1.834823992539217,1.8063530314276652,-1.474439728739716,-2.5407651981112505,0.4682571532035463,0.07653961634860315,1.458124321465996,2.2104134074732076,-2.98540686776909,-2.961775747953358,-2.8293026132402677,-0.44445879974330865,0.8409172907818521,-1.2176468003564207,3.1363702623102645,2.651301031796086,2.7123402889204113,2.113877827030336],[-0.025791742143997255,0.16835298744267393,-0.3301127208039211,0.1131010822297115,0.6053740329929556,-0.23635887584029902,-0.02149162618565331,0.19059678599532429,-0.5296000857330586,0.2248106940924322,-0.4717769084346292,0.2931194813746353,-0.13358539037906386,0.257597460247378,-0.32952868078684405,0.31689119987098413,-0.29887197833243956,0.17830565991590477,-0.3569582867721129,0.2739477140000955,-0.15298440268157917,0.35622791699592166,0.06515124722322196,0.2448866747809462,-0.2937192676883672,0.16607697209469394,-0.2150067691507268,0.20902619897803867,-0.06342582300425556,0.1559458743745054,-0.14566761620755764,0.142080663769678,-0.16468443426686635,-0.005909940541941636,-0.2886891909727076,-0.04662818285267693,-0.282652824356609,0.05852233030430897,-0.1564602232392736,0.14818756631557908,-0.03441735611986025,0.17754123543086223,0.022188364277819072,0.13246712776236735,0.008290973698992418,0.056938083179946766,-0.008575434778632086,0.03268900125678613],[0.009518703470234795,0.20007049543516323,-0.35343759869977537,0.15147610288049307,0.5465202710556035,-0.27487113567704025,-0.11404454528120014,0.3007420386443609,-0.5106991431347117,0.2724787264878639,-0.5400604736700018,0.406105663410344,-0.18847367456727263,0.11740488127572161,-0.3265458074992421,0.4315316210645273,-0.26861205481367123,0.10277019508580722,-0.3568422711495844,0.32056155946336923,-0.2051620521003838,0.3575856346923526,0.029015386907602716,0.22293206883585182,-0.17751202775393152,0.13527440100490543,-0.22556910580688644,0.21963095120991075,-0.07281078474147892,0.1200843482619294,-0.12648555852559967,0.12487619376842521,-0.14178286041537713,0.02129190578218927,-0.2340127875529086,-0.09588186311616552,-0.24454085816934162,-0.011846820540737504,-0.13373923774044513,0.09048715739654296,-0.029227752618129935,0.13922955618651664,0.02507691728479123,0.13421290860107832,0.02637916452041617,0.08681531276752319,-0.009158583280915745,0.026800847403867525]],""snap_alphas_per_layer"":[{""real"":1.264293216331863,""imag"":-1.2322842266038838},{""real"":-0.8156066035232363,""imag"":-0.3092642344848039},{""real"":-1.0178068234473137,""imag"":-0.3383656836281795},{""real"":0.37295029069163055,""imag"":2.0818883348195336},{""real"":-0.019966886921081346,""imag"":0.20067924482822308},{""real"":0.10455240259875294,""imag"":0.02177704905116261}]}",oracle_only,0.21539532312329077,0.9932077947314145,0.976318463037731,0.9597163315921449,0.9597163315921449,0.9999819492947946,0.9597163315921449,grid
neumann,7.9,4.0,0.3,48,100,snap_d,8,True,,0.9992351780991298,0.999983822605769,0.052594753093444815,0.027665995393919132,0.004022145688936501,0.9848197084789911,0.38981992771566837,2193,2895,snap_d_layers,,,,0.9988888034004187,0.999568667245973,48,328,10,True,9,3000,"{""format"":""snap_d_layers_v1"",""method"":""snap_d"",""apply_mode"":""snap_d_layers"",""snap_depth"":8,""snap_n_snap"":48,""snap_thetas_per_layer"":[[2.6130949478256,1.7597712466100677,-1.855596787891928,-2.4176536942668196,1.409396625277666,-1.4965536421437025,2.9329754243809645,1.894740855386837,-0.6869667976397886,-1.1689205663539093,-1.6713541184390155,1.5480243086067746,-1.421807903003776,0.7176622493249041,1.5442707877640036,-1.3553765494733805,-0.49413803412330715,0.5683073671152786,0.1723370569051097,-2.8593361457560755,-0.6589789270550983,0.12709136034987906,-1.7766666521313887,-2.928013050863345,1.9124000770655682,0.13688020091789863,2.998587138442514,2.8027177458352273,-1.5200124022424923,1.801448868365686,-0.8112182069679502,1.84701830955855,2.5470325335822115,0.9768142384702286,0.8106805510274012,3.044057142028123,0.9214113596654026,0.37218504662594515,-2.6689647289196996,-0.897131722669111,1.147150621213579,-1.877145968338798,0.4671440460798481,-2.3184940895838335,1.986274618295364,-2.5102126035002503,0.0033189383136833068,2.552482963939519],[-2.2164324022971518,-2.2758947530083056,0.2444089083660603,-0.046012030981588896,-1.790257510983252,-2.133257642967996,0.6816456498215749,-1.8081738842670223,-2.0814300115245126,-0.18368809528907873,1.8553961680313507,2.5103219394063276,0.33608362703158884,-2.3631298220316195,0.14358197282026933,-0.8232715768487153,1.8820603432567795,0.13203097422549392,-2.7315208918500247,-2.473598924879227,0.3474170102471917,-2.1906340825132196,-2.201054455079982,-2.557558812170349,-2.8439986513832585,-2.2959354273366803,2.065156760042745,-0.5954378306750487,-1.6180028860129863,-2.5584820019137626,1.3763340590828854,-1.6090866424135017,-0.09511643352772926,-0.176904867485378,2.0577346963720453,-1.8005604053217281,-2.593110184230809,-0.6458634449634696,-0.42365761880865077,-0.21627261244310997,0.5479652898039772,-2.336988109375287,2.390690621556399,2.903106984677049,-1.9077047611688704,-2.6890604813149532,-0.18858586298080832,1.0851519962613623],[2.6403315349377356,-3.144074326915314,-1.4021274584288865,1.1116706884656713,1.201874181067114,1.00225674669308,-1.6483738243220216,-0.11465193903202119,-0.5876877599271985,-0.4136914102915707,-1.6911242330675331,-1.2364150456576886,-1.808755613802167,-1.7873253597697838,-2.9097900944313224,-2.921323593525087,-2.9666331604864866,0.8799352918133083,2.353586914395662,2.349298014431756,0.4107083134703178,-0.8829328744710765,0.09972714552830686,1.3680449715361418,-1.9751269081207496,-3.077019566921325,-0.23142871133613607,-0.3303249617159621,2.980398045815236,-0.990634213416092,1.2077399198506111,2.2646130749424422,2.1809481248922395,0.7134129378740445,-0.20364132335673213,1.5768326038601719,1.214647841462342,2.0132359065739105,0.9695176081871917,-1.6553206420224196,1.6937234655776572,-2.840077842640316,-0.11821727022860302,-1.1910334069724222,1.6755068455898605,1.982426498770132,-3.02590261669748,-3.1406958273674457],[2.2673027553374556,1.5164378914043783,0.9550881219154692,-2.3455691498724236,-1.0628758612701479,2.406288980783022,1.9613899699736161,-2.921108175497356,2.9093471745786372,-0.008197327803646735,0.21027560534423206,-2.744776352090616,2.0417695243269725,0.1804328456352911,-2.766221669644175,2.99853132522973,-0.06057215151122005,-0.20016021059839065,2.5911213713411008,2.508351228688382,-1.0077416293149346,-0.8917028830100617,2.5071416379153293,2.269094697423419,2.356921388883817,-1.7142805072552476,2.015599794120623,0.18805208187266806,-2.2185804165853367,-2.993661543804076,-1.836232897782042,1.8063166965089972,-1.4745601181766352,-2.5411790417621054,0.4686102078231642,0.07652231630421297,1.458097168733262,2.2104086211221903,-2.9854046006442987,-2.9617785445689906,-2.8293064634388245,-0.4444569131124118,0.8409175856467052,-1.2176466475562788,3.1363707789433986,2.651301607234477,2.7123406971252773,2.1138785035264833],[-0.03624694156671092,0.14626886102232428,-0.3207908190035507,0.09186037513921097,0.7509497871453599,-0.2820470850481197,0.006830129221506075,0.05037785272889057,-0.6029272834828888,0.14239312968813128,-0.31252544939582155,0.14509199767219144,-0.05436204258189188,0.30623698185870146,-0.29025770708056886,0.33862319632858073,-0.25692372077479836,0.14726536505232932,-0.32925172627092786,0.2936873742306481,-0.1473136390160091,0.3596033642085299,0.024459451008903302,0.36436932301299185,-0.31786069155005703,0.283246772405781,-0.3042379470222871,0.25735909218173003,-0.1613466782830703,0.21356864831318603,-0.26532019515189853,0.205669241973138,-0.26303179870125243,0.04670216775323668,-0.3822970418268818,0.05618225837650656,-0.41140888731794156,0.17110297598507337,-0.3113601026294882,0.2372546765451758,-0.16882388480326443,0.2777819672097053,-0.054738823253877925,0.24673772871463176,-0.03863763212840345,0.1286939583707702,-0.042769056530096834,0.08695136395553524],[0.05246202863477119,0.20942644160119006,-0.3416179342927544,0.1699258724638783,0.5371013519883857,-0.36330716404361935,-0.0467999106287048,0.3062901418881907,-0.438960579033263,0.1550488714733377,-0.5124884188619803,0.38645571582297294,-0.22214433312098764,0.054589216219164724,-0.24746380466303958,0.4305311795423883,-0.24053903340051272,0.1008728519742944,-0.3539847160300779,0.34459121210678834,-0.25382132069171676,0.4503677371292329,-0.08975103551823702,0.22198356720306714,-0.16486471023844856,0.23630809531960256,-0.2715409335491469,0.35469849086487854,-0.19453811750621683,0.19186687108245906,-0.25093173089318277,0.20258102386256827,-0.25532776085084,0.05765017661548983,-0.30524167783732326,-0.0852208258530601,-0.29763188786168004,0.037719197566428456,-0.20920397897473492,0.17259190385682274,-0.14513169522847094,0.2308914784785496,-0.09715272203849507,0.24229592298748448,-0.0475130856337123,0.22572145201954338,-0.07973681754960082,0.061182847348085614],[0.0694214269740886,-0.028052716127840327,0.08872075225042131,-0.06098568003599925,-0.0348012664242026,-0.00027445252135706777,0.02845697699890056,-0.030964489603803783,0.1675355527409326,-0.14643451134700888,0.09148318204257376,-0.1326998518905712,-0.037618471268846175,-0.023983259839606388,0.11497153983021081,-0.05120638027993103,0.017616648397441505,-0.011029613305921985,0.047925924286199476,-0.005117463223603126,-0.031556452575016235,0.02480965484601681,-0.11994494143251691,0.025622093091265327,0.05607243806298284,0.06813795659907015,-0.017263449574638233,0.057668198631846336,-0.08563491199683919,0.05842882738200829,-0.09154652744225728,0.04777537140565167,-0.12085658530932336,0.04541656814474143,-0.06488584601004482,0.04194685365950597,-0.05681035751759607,0.05312187257405429,-0.06851752889035431,0.05305291592040255,-0.09109819616385066,0.03972264250592066,-0.08916048175311714,0.04169858630488499,-0.027170842985634172,0.0560550419719359,0.062480479059470344,0.052537330430600916],[0.06770183189441722,-0.02592530297062897,0.08052880238711163,-0.05830386918591275,-0.028540338488154265,-0.004353587236755448,0.02663574840014739,-0.029345037677592826,0.150961095009195,-0.14305055128060307,0.08985106323356286,-0.12853393114523054,-0.025634983888126135,-0.02593277535215619,0.11214453492708774,-0.05080340123843015,0.023472077030605932,-0.012526334087557699,0.04788552742412798,-0.004353536478405951,-0.031043141787581108,0.029213710485966993,-0.12092756007283505,0.026941263861750244,0.058116636214703005,0.07020379357463759,-0.024216086236781835,0.06522250762912453,-0.0925256317314055,0.06585791769877458,-0.10172390805641911,0.057001650280728275,-0.12804109594958385,0.05238361989832331,-0.07053941247725942,0.04599649796178001,-0.061515500417373276,0.059531041233280284,-0.07834874593630643,0.06388482518386925,-0.1061049657260571,0.05367196440444665,-0.10267064744048025,0.05566348555498644,-0.036169240549577014,0.06781755703668449,0.05575038475200346,0.049284227694647284]],""snap_alphas_per_layer"":[{""real"":1.2779254410399876,""imag"":-1.264872792960412},{""real"":-0.82877538042414,""imag"":-0.32034101876511606},{""real"":-1.0167472585669677,""imag"":-0.35457252226090524},{""real"":0.3646430703082641,""imag"":2.1292506965437976},{""real"":-0.01073788370415508,""imag"":0.1386321350342278},{""real"":0.08106746066444667,""imag"":0.08482864615707811},{""real"":-0.00013819321344393803,""imag"":-0.030638227096988477},{""real"":0.01086846908637627,""imag"":-0.11950940114696214}]}",oracle_only,0.22924774257210928,0.9992351780991298,0.9920012584657026,0.9848197084789911,0.9848197084789911,0.999983822605769,0.9848197084789911,grid
