boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_total_starts,snap_used_warm_start,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_oracle_only,score_truncated,score,source
neumann,7.9,4.0,0.3,48,100,snap_d,4,True,,0.9731034988420311,0.9999655640086013,0.029684513305454758,0.16625257366795368,0.0058683198001966315,0.8212241746291268,0.38981992771566837,1997,2699,snap_d_layers,,,,0.9741672690392453,0.999568667245973,48,806,12,False,12,3000,oracle_only,0.16995912378851818,0.9731034988420311,0.8939441356512511,0.8212241746291268,0.8212241746291268,0.9999655640086013,0.8212241746291268,oat_snap_depth
neumann,7.9,4.0,0.3,48,100,snap_d,6,True,,0.9976325459096743,0.9999812783199908,0.05719819709220086,0.04871418920481232,0.004326896175857754,0.9653357865266738,0.38981992771566837,2095,2797,snap_d_layers,,,,0.998796405986131,0.999568667245973,48,571,13,True,12,3000,oracle_only,0.23887817603652217,0.9976325459096743,0.9813513124107612,0.9653357865266738,0.9653357865266738,0.9999812783199908,0.9653357865266738,oat_snap_depth
neumann,7.9,4.0,0.3,48,100,snap_d,8,True,,0.9985850417065982,0.9999838549287361,0.05272745328660619,0.037642572139606936,0.004018125425039255,0.9851252309890752,0.38981992771566837,2193,2895,snap_d_layers,,,,0.9989687329842938,0.999568667245973,48,421,13,True,12,3000,oracle_only,0.22946207995938753,0.9985850417065982,0.991832304310284,0.9851252309890752,0.9851252309890752,0.9999838549287361,0.9851252309890752,oat_snap_depth
neumann,7.9,4.0,0.3,48,100,snap_d,10,True,,0.9994170227405962,0.9999842550124012,0.05595499576418812,0.024151963070023305,0.003968026651482274,0.9927086918270437,0.38981992771566837,2291,2993,snap_d_layers,,,,0.999825215565762,0.999568667245973,48,326,13,True,12,3000,oracle_only,0.23647912227955256,0.9994170227405962,0.9960572098200464,0.9927086918270437,0.9927086918270437,0.9999842550124012,0.9927086918270437,oat_snap_depth
neumann,7.9,4.0,0.3,48,100,snap_d,14,True,,0.9996078559674789,0.9999848349728635,0.05501714494579846,0.019806510792905227,0.0038942595082964012,0.9944499151848876,0.38981992771566837,2487,3189,snap_d_layers,,,,0.9999032443695228,0.999568667245973,48,232,13,True,12,3000,oracle_only,0.23451134365041196,0.9996078559674789,0.9970255501164484,0.9944499151848876,0.9944499151848876,0.9999848349728635,0.9944499151848876,oat_snap_depth
neumann,7.9,4.0,0.3,48,100,snap_d,18,True,,0.9994933878031291,0.9999839916728712,0.055604111492956715,0.02251375097311925,0.004001072781008296,0.9952025296201598,0.38981992771566837,2683,3385,snap_d_layers,,,,0.9998516847981983,0.999568667245973,48,175,13,True,12,3000,oracle_only,0.23574550212438458,0.9994933878031291,0.9973456511562566,0.9952025296201598,0.9952025296201598,0.9999839916728712,0.9952025296201598,oat_snap_depth
neumann,7.9,4.0,0.3,48,100,snap_d,22,True,,0.9995770918252449,0.9999844740399008,0.055740069368666406,0.020569081208186957,0.003940330082466779,0.9954025706524449,0.38981992771566837,2879,3581,snap_d_layers,,,,0.9999595663705313,0.999568667245973,48,142,13,True,12,3000,oracle_only,0.23604342066168457,0.9995770918252449,0.9974876474263447,0.9954025706524449,0.9954025706524449,0.9999844740399008,0.9954025706524449,oat_snap_depth
neumann,7.9,4.0,0.3,48,100,snap_d,26,True,,0.9996168766211053,0.9999847435885841,0.05582205388045484,0.019577288338159096,0.003905975445081637,0.9956195690598649,0.38981992771566837,3075,3777,snap_d_layers,,,,0.9999795590830569,0.999568667245973,48,123,13,True,12,3000,oracle_only,0.23622164834442103,0.9996168766211053,0.9976162207615076,0.9956195690598649,0.9956195690598649,0.9999847435885841,0.9956195690598649,oat_snap_depth
neumann,7.9,4.0,0.3,48,100,snap_d,30,True,,0.9996260537161833,0.9999846836839762,0.05565859611468079,0.019341307400226684,0.003913636495231968,0.9957233406923438,0.38981992771566837,3271,3973,snap_d_layers,,,,0.9999733357224732,0.999568667245973,48,80,13,True,12,3000,oracle_only,0.23587662620425376,0.9996260537161833,0.9976727888688668,0.9957233406923438,0.9957233406923438,0.9999846836839762,0.9957233406923438,oat_snap_depth
