boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_total_starts,snap_used_warm_start,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_oracle_only,score_truncated,score,source
neumann,7.9,4.0,0.3,48,100,snap_d,4,True,,0.9750315652732161,0.9999844846647323,0.03365600685055824,0.1600244417513537,0.003938981593881189,0.79973166662529,0.38981992771566837,1997,2699,snap_d_layers,,,,0.9781899156810935,0.999568667245973,48,792,12,False,12,3000,oracle_only,0.18115095649856747,0.9750315652732161,0.8830422519382719,0.79973166662529,0.79973166662529,0.9999844846647323,0.79973166662529,grid
neumann,7.9,4.0,0.3,48,100,snap_d,6,True,,0.9967172955469218,0.9999855804209309,0.05180097807536369,0.05738916355046952,0.003797339462831862,0.9654730325114145,0.38981992771566837,2095,2797,snap_d_layers,,,,0.9974239949580679,0.999568667245973,48,561,13,True,12,3000,oracle_only,0.2272244062022429,0.9967172955469218,0.9809707793243703,0.9654730325114145,0.9654730325114145,0.9999855804209309,0.9654730325114145,grid
neumann,7.9,4.0,0.3,48,100,snap_d,8,True,,0.9990366391062115,0.9999843194453892,0.05497341419117104,0.03105301680872221,0.003959899050997299,0.9917753321781948,0.38981992771566837,2193,2895,snap_d_layers,,,,0.9993700535747412,0.999568667245973,48,427,13,True,12,3000,oracle_only,0.23435113601973692,0.9990366391062115,0.9953993643798202,0.9917753321781948,0.9917753321781948,0.9999843194453892,0.9917753321781948,grid
neumann,7.9,4.0,0.3,48,100,snap_d,10,True,,0.998615856156962,0.9999839085391194,0.05672682299853679,0.03722985834929899,0.004011448593651888,0.9949958979546731,0.38981992771566837,2291,2993,snap_d_layers,,,,0.9990814054370071,0.999568667245973,48,338,13,True,12,3000,oracle_only,0.2380090437688204,0.998615856156962,0.9968042337935122,0.9949958979546731,0.9949958979546731,0.9999839085391194,0.9949958979546731,grid
neumann,7.9,4.0,0.3,48,100,snap_d,14,True,,0.9994648698130334,0.9999840816436597,0.0564985648375021,0.02313907311469885,0.003989813246064916,0.9955477854040743,0.38981992771566837,2487,3189,snap_d_layers,,,,0.9998655342949629,0.999568667245973,48,246,13,True,12,3000,oracle_only,0.23763066037432387,0.9994648698130334,0.9975044048682375,0.9955477854040743,0.9955477854040743,0.9999840816436597,0.9955477854040743,grid
neumann,7.9,4.0,0.3,48,100,snap_d,18,True,,0.9995171930648292,0.9999839787103877,0.056379985557111,0.021978174407934228,0.004002692381227036,0.9959431674651693,0.38981992771566837,2683,3385,snap_d_layers,,,,0.9999004005431301,0.999568667245973,48,171,13,True,12,3000,oracle_only,0.23738737310370828,0.9995171930648292,0.9977285799238594,0.9959431674651693,0.9959431674651693,0.9999839787103877,0.9959431674651693,grid
neumann,7.9,4.0,0.3,48,100,snap_d,22,True,,0.9994768473967862,0.9999839924743414,0.0566502235285025,0.022878514705193444,0.004000972619722115,0.9961915262532616,0.38981992771566837,2879,3581,snap_d_layers,,,,0.9998844967048885,0.999568667245973,48,143,13,True,12,3000,oracle_only,0.23795080755608064,0.9994768473967862,0.9978328347288451,0.9961915262532616,0.9961915262532616,0.9999839924743414,0.9961915262532616,grid
neumann,7.9,4.0,0.3,48,100,snap_d,26,True,,0.9994828247702628,0.9999839544810145,0.056499771685458076,0.02274736992170895,0.0040057179691429376,0.996329078911411,0.38981992771566837,3075,3777,snap_d_layers,,,,0.9998843482048322,0.999568667245973,48,113,13,True,12,3000,oracle_only,0.23763533281702146,0.9994828247702628,0.9979047059670233,0.996329078911411,0.996329078911411,0.9999839544810145,0.996329078911411,grid
neumann,7.9,4.0,0.3,48,100,snap_d,30,True,,0.9994836779360378,0.9999839102397557,0.05651537957741305,0.022728589708829544,0.004011236608424641,0.9963805252275908,0.38981992771566837,3271,3973,snap_d_layers,,,,0.9999001537398211,0.999568667245973,48,91,13,True,12,3000,oracle_only,0.23766825501102168,0.9994836779360378,0.9979308953922178,0.9963805252275908,0.9963805252275908,0.9999839102397557,0.9963805252275908,grid
